Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
  -4.0000000    42.0000000      -0.00021       0.00020 
  -4.0000000    42.5000000      -0.00020       0.00022 
  -4.0000000    43.0000000      -0.00043      -0.00001 
  -4.0000000    43.5000000      -0.00044       0.00005 
  -4.0000000    44.0000000      -0.00042       0.00017 
  -4.0000000    44.5000000      -0.00036       0.00011 
  -4.0000000    45.0000000      -0.00036       0.00009 
  -4.0000000    45.5000000      -0.00033       0.00009 
  -4.0000000    46.0000000      -0.00035       0.00003 
  -4.0000000    46.5000000      -0.00031      -0.00009 
  -4.0000000    47.0000000      -0.00039      -0.00014 
  -4.0000000    47.5000000      -0.00039      -0.00012 
  -4.0000000    48.0000000      -0.00006       0.00034 
  -4.0000000    48.5000000       0.00014       0.00055 
  -4.0000000    49.0000000       0.00017       0.00048 
  -4.0000000    49.5000000       0.00018       0.00037 
  -4.0000000    50.0000000       0.00018       0.00027 
  -4.0000000    50.5000000       0.00017       0.00021 
  -4.0000000    51.0000000       0.00017       0.00017 
  -4.0000000    51.5000000       0.00017       0.00014 
  -4.0000000    52.0000000       0.00017       0.00012 
  -4.0000000    52.5000000       0.00017       0.00011 
  -4.0000000    53.0000000       0.00016       0.00010 
  -3.5000000    42.0000000      -0.00026       0.00020 
  -3.5000000    42.5000000      -0.00021       0.00022 
  -3.5000000    43.0000000      -0.00020       0.00023 
  -3.5000000    43.5000000      -0.00042       0.00007 
  -3.5000000    44.0000000      -0.00041       0.00018 
  -3.5000000    44.5000000      -0.00039       0.00014 
  -3.5000000    45.0000000      -0.00033       0.00010 
  -3.5000000    45.5000000      -0.00032       0.00005 
  -3.5000000    46.0000000      -0.00023      -0.00004 
  -3.5000000    46.5000000      -0.00031      -0.00008 
  -3.5000000    47.0000000      -0.00040      -0.00014 
  -3.5000000    47.5000000      -0.00051      -0.00025 
  -3.5000000    48.0000000      -0.00001       0.00044 
  -3.5000000    48.5000000       0.00010       0.00049 
  -3.5000000    49.0000000       0.00014       0.00042 
  -3.5000000    49.5000000       0.00015       0.00030 
  -3.5000000    50.0000000       0.00016       0.00021 
  -3.5000000    50.5000000       0.00016       0.00016 
  -3.5000000    51.0000000       0.00017       0.00013 
  -3.5000000    51.5000000       0.00017       0.00011 
  -3.5000000    52.0000000       0.00017       0.00009 
  -3.5000000    52.5000000       0.00017       0.00009 
  -3.5000000    53.0000000       0.00016       0.00008 
  -3.0000000    42.0000000      -0.00022       0.00020 
  -3.0000000    42.5000000      -0.00022       0.00022 
  -3.0000000    43.0000000      -0.00021       0.00024 
  -3.0000000    43.5000000      -0.00034       0.00019 
  -3.0000000    44.0000000      -0.00041       0.00014 
  -3.0000000    44.5000000      -0.00036       0.00014 
  -3.0000000    45.0000000      -0.00029       0.00011 
  -3.0000000    45.5000000      -0.00028       0.00007 
  -3.0000000    46.0000000      -0.00019      -0.00000 
  -3.0000000    46.5000000      -0.00027      -0.00004 
  -3.0000000    47.0000000      -0.00034      -0.00005 
  -3.0000000    47.5000000      -0.00029       0.00007 
  -3.0000000    48.0000000      -0.00002       0.00043 
  -3.0000000    48.5000000       0.00006       0.00044 
  -3.0000000    49.0000000       0.00010       0.00034 
  -3.0000000    49.5000000       0.00012       0.00022 
  -3.0000000    50.0000000       0.00014       0.00014 
  -3.0000000    50.5000000       0.00015       0.00010 
  -3.0000000    51.0000000       0.00016       0.00008 
  -3.0000000    51.5000000       0.00016       0.00007 
  -3.0000000    52.0000000       0.00017       0.00007 
  -3.0000000    52.5000000       0.00017       0.00006 
  -3.0000000    53.0000000       0.00013       0.00019 
  -2.5000000    42.0000000      -0.00023       0.00020 
  -2.5000000    42.5000000      -0.00023       0.00023 
  -2.5000000    43.0000000      -0.00022       0.00025 
  -2.5000000    43.5000000      -0.00018       0.00029 
  -2.5000000    44.0000000      -0.00038       0.00016 
  -2.5000000    44.5000000      -0.00033       0.00014 
  -2.5000000    45.0000000      -0.00022       0.00009 
  -2.5000000    45.5000000      -0.00022       0.00009 
  -2.5000000    46.0000000      -0.00014       0.00005 
  -2.5000000    46.5000000      -0.00021       0.00004 
  -2.5000000    47.0000000      -0.00025       0.00007 
  -2.5000000    47.5000000      -0.00020       0.00019 
  -2.5000000    48.0000000      -0.00007       0.00036 
  -2.5000000    48.5000000       0.00002       0.00037 
  -2.5000000    49.0000000       0.00006       0.00026 
  -2.5000000    49.5000000       0.00009       0.00012 
  -2.5000000    50.0000000       0.00012       0.00006 
  -2.5000000    50.5000000       0.00014       0.00004 
  -2.5000000    51.0000000       0.00015       0.00004 
  -2.5000000    51.5000000       0.00016       0.00004 
  -2.5000000    52.0000000       0.00016       0.00004 
  -2.5000000    52.5000000       0.00014       0.00016 
  -2.5000000    53.0000000       0.00019       0.00001 
  -2.0000000    42.0000000      -0.00025       0.00013 
  -2.0000000    42.5000000      -0.00025       0.00022 
  -2.0000000    43.0000000      -0.00024       0.00025 
  -2.0000000    43.5000000      -0.00020       0.00029 
  -2.0000000    44.0000000      -0.00016       0.00029 
  -2.0000000    44.5000000      -0.00029       0.00015 
  -2.0000000    45.0000000      -0.00020       0.00009 
  -2.0000000    45.5000000      -0.00015       0.00012 
  -2.0000000    46.0000000      -0.00013       0.00012 
  -2.0000000    46.5000000      -0.00013       0.00012 
  -2.0000000    47.0000000      -0.00018       0.00017 
  -2.0000000    47.5000000      -0.00017       0.00026 
  -2.0000000    48.0000000      -0.00010       0.00034 
  -2.0000000    48.5000000      -0.00003       0.00032 
  -2.0000000    49.0000000       0.00003       0.00019 
  -2.0000000    49.5000000       0.00006       0.00001 
  -2.0000000    50.0000000       0.00010      -0.00002 
  -2.0000000    50.5000000       0.00013      -0.00001 
  -2.0000000    51.0000000       0.00015      -0.00000 
  -2.0000000    51.5000000       0.00016       0.00000 
  -2.0000000    52.0000000       0.00014       0.00012 
  -2.0000000    52.5000000       0.00019      -0.00001 
  -2.0000000    53.0000000       0.00019      -0.00001 
  -1.5000000    42.0000000      -0.00026       0.00014 
  -1.5000000    42.5000000      -0.00028       0.00016 
  -1.5000000    43.0000000      -0.00026       0.00025 
  -1.5000000    43.5000000      -0.00020       0.00028 
  -1.5000000    44.0000000      -0.00016       0.00028 
  -1.5000000    44.5000000      -0.00015       0.00028 
  -1.5000000    45.0000000      -0.00019       0.00015 
  -1.5000000    45.5000000      -0.00009       0.00013 
  -1.5000000    46.0000000      -0.00001       0.00014 
  -1.5000000    46.5000000      -0.00006       0.00019 
  -1.5000000    47.0000000      -0.00013       0.00023 
  -1.5000000    47.5000000      -0.00015       0.00030 
  -1.5000000    48.0000000      -0.00012       0.00034 
  -1.5000000    48.5000000      -0.00006       0.00029 
  -1.5000000    49.0000000      -0.00000       0.00015 
  -1.5000000    49.5000000       0.00005      -0.00003 
  -1.5000000    50.0000000       0.00009      -0.00006 
  -1.5000000    50.5000000       0.00013      -0.00005 
  -1.5000000    51.0000000       0.00015      -0.00004 
  -1.5000000    51.5000000       0.00016      -0.00003 
  -1.5000000    52.0000000       0.00015       0.00013 
  -1.5000000    52.5000000       0.00019      -0.00003 
  -1.5000000    53.0000000       0.00019      -0.00003 
  -1.0000000    42.0000000      -0.00027       0.00014 
  -1.0000000    42.5000000      -0.00029       0.00018 
  -1.0000000    43.0000000      -0.00030       0.00020 
  -1.0000000    43.5000000      -0.00022       0.00029 
  -1.0000000    44.0000000      -0.00017       0.00027 
  -1.0000000    44.5000000      -0.00014       0.00025 
  -1.0000000    45.0000000      -0.00006       0.00021 
  -1.0000000    45.5000000      -0.00003       0.00013 
  -1.0000000    46.0000000       0.00002       0.00018 
  -1.0000000    46.5000000      -0.00001       0.00022 
  -1.0000000    47.0000000      -0.00010       0.00027 
  -1.0000000    47.5000000      -0.00014       0.00034 
  -1.0000000    48.0000000      -0.00014       0.00037 
  -1.0000000    48.5000000      -0.00009       0.00029 
  -1.0000000    49.0000000      -0.00001       0.00014 
  -1.0000000    49.5000000       0.00005      -0.00001 
  -1.0000000    50.0000000       0.00010      -0.00007 
  -1.0000000    50.5000000       0.00013      -0.00008 
  -1.0000000    51.0000000       0.00015      -0.00007 
  -1.0000000    51.5000000       0.00015       0.00007 
  -1.0000000    52.0000000       0.00014       0.00011 
  -1.0000000    52.5000000       0.00019      -0.00005 
  -1.0000000    53.0000000       0.00019      -0.00005 
  -0.5000000    42.0000000      -0.00027       0.00014 
  -0.5000000    42.5000000      -0.00031       0.00019 
  -0.5000000    43.0000000      -0.00032       0.00023 
  -0.5000000    43.5000000      -0.00029       0.00021 
  -0.5000000    44.0000000      -0.00020       0.00026 
  -0.5000000    44.5000000      -0.00011       0.00020 
  -0.5000000    45.0000000      -0.00003       0.00015 
  -0.5000000    45.5000000       0.00003       0.00013 
  -0.5000000    46.0000000       0.00006       0.00015 
  -0.5000000    46.5000000       0.00001       0.00022 
  -0.5000000    47.0000000      -0.00006       0.00029 
  -0.5000000    47.5000000      -0.00014       0.00036 
  -0.5000000    48.0000000      -0.00017       0.00041 
  -0.5000000    48.5000000      -0.00010       0.00030 
  -0.5000000    49.0000000      -0.00000       0.00013 
  -0.5000000    49.5000000       0.00007      -0.00001 
  -0.5000000    50.0000000       0.00011      -0.00008 
  -0.5000000    50.5000000       0.00014      -0.00009 
  -0.5000000    51.0000000       0.00014       0.00002 
  -0.5000000    51.5000000       0.00014       0.00006 
  -0.5000000    52.0000000       0.00019      -0.00008 
  -0.5000000    52.5000000       0.00019      -0.00007 
  -0.5000000    53.0000000       0.00018      -0.00007 
   0.0000000    42.0000000      -0.00025       0.00012 
   0.0000000    42.5000000      -0.00031       0.00021 
   0.0000000    43.0000000      -0.00035       0.00026 
   0.0000000    43.5000000      -0.00030       0.00023 
   0.0000000    44.0000000      -0.00017       0.00022 
   0.0000000    44.5000000      -0.00008       0.00014 
   0.0000000    45.0000000       0.00000       0.00008 
   0.0000000    45.5000000       0.00005       0.00008 
   0.0000000    46.0000000       0.00009       0.00009 
   0.0000000    46.5000000       0.00005       0.00015 
   0.0000000    47.0000000      -0.00004       0.00026 
   0.0000000    47.5000000      -0.00012       0.00036 
   0.0000000    48.0000000      -0.00021       0.00046 
   0.0000000    48.5000000      -0.00009       0.00028 
   0.0000000    49.0000000       0.00003       0.00010 
   0.0000000    49.5000000       0.00010      -0.00003 
   0.0000000    50.0000000       0.00013      -0.00009 
   0.0000000    50.5000000       0.00019      -0.00010 
   0.0000000    51.0000000       0.00015       0.00001 
   0.0000000    51.5000000       0.00014       0.00006 
   0.0000000    52.0000000       0.00019      -0.00010 
   0.0000000    52.5000000       0.00019      -0.00009 
   0.0000000    53.0000000       0.00025      -0.00009 
   0.5000000    42.0000000      -0.00021       0.00008 
   0.5000000    42.5000000      -0.00029       0.00019 
   0.5000000    43.0000000      -0.00039       0.00031 
   0.5000000    43.5000000      -0.00029       0.00025 
   0.5000000    44.0000000      -0.00009      -0.00007 
   0.5000000    44.5000000      -0.00002       0.00003 
   0.5000000    45.0000000       0.00006      -0.00001 
   0.5000000    45.5000000       0.00012      -0.00003 
   0.5000000    46.0000000       0.00012       0.00002 
   0.5000000    46.5000000       0.00009       0.00008 
   0.5000000    47.0000000       0.00002       0.00019 
   0.5000000    47.5000000      -0.00006       0.00027 
   0.5000000    48.0000000      -0.00012       0.00035 
   0.5000000    48.5000000      -0.00002       0.00021 
   0.5000000    49.0000000       0.00008       0.00006 
   0.5000000    49.5000000       0.00013      -0.00005 
   0.5000000    50.0000000       0.00019      -0.00010 
   0.5000000    50.5000000       0.00016      -0.00003 
   0.5000000    51.0000000       0.00015       0.00001 
   0.5000000    51.5000000       0.00016      -0.00015 
   0.5000000    52.0000000       0.00015      -0.00014 
   0.5000000    52.5000000       0.00011      -0.00013 
   0.5000000    53.0000000       0.00011      -0.00013 
   1.0000000    42.0000000      -0.00015       0.00001 
   1.0000000    42.5000000      -0.00021       0.00013 
   1.0000000    43.0000000      -0.00039       0.00034 
   1.0000000    43.5000000      -0.00020       0.00020 
   1.0000000    44.0000000       0.00003      -0.00000 
   1.0000000    44.5000000       0.00003      -0.00011 
   1.0000000    45.0000000       0.00011      -0.00009 
   1.0000000    45.5000000       0.00014      -0.00010 
   1.0000000    46.0000000       0.00014      -0.00005 
   1.0000000    46.5000000       0.00013       0.00000 
   1.0000000    47.0000000       0.00007       0.00008 
   1.0000000    47.5000000       0.00003       0.00015 
   1.0000000    48.0000000       0.00001       0.00017 
   1.0000000    48.5000000       0.00008       0.00007 
   1.0000000    49.0000000       0.00015      -0.00004 
   1.0000000    49.5000000       0.00017      -0.00008 
   1.0000000    50.0000000       0.00017      -0.00015 
   1.0000000    50.5000000       0.00015      -0.00016 
   1.0000000    51.0000000       0.00014      -0.00017 
   1.0000000    51.5000000       0.00010      -0.00014 
   1.0000000    52.0000000       0.00009      -0.00015 
   1.0000000    52.5000000       0.00008      -0.00016 
   1.0000000    53.0000000      -0.00004      -0.00014 
   1.5000000    42.0000000      -0.00005      -0.00011 
   1.5000000    42.5000000      -0.00005      -0.00003 
   1.5000000    43.0000000      -0.00010       0.00016 
   1.5000000    43.5000000       0.00016      -0.00004 
   1.5000000    44.0000000       0.00011      -0.00008 
   1.5000000    44.5000000       0.00008      -0.00015 
   1.5000000    45.0000000       0.00016      -0.00022 
   1.5000000    45.5000000       0.00015      -0.00015 
   1.5000000    46.0000000       0.00016      -0.00011 
   1.5000000    46.5000000       0.00016      -0.00007 
   1.5000000    47.0000000       0.00013      -0.00001 
   1.5000000    47.5000000       0.00011       0.00001 
   1.5000000    48.0000000       0.00013       0.00001 
   1.5000000    48.5000000       0.00019      -0.00006 
   1.5000000    49.0000000       0.00024      -0.00013 
   1.5000000    49.5000000       0.00024      -0.00017 
   1.5000000    50.0000000       0.00020      -0.00017 
   1.5000000    50.5000000       0.00015      -0.00014 
   1.5000000    51.0000000       0.00012      -0.00014 
   1.5000000    51.5000000       0.00010      -0.00015 
   1.5000000    52.0000000       0.00008      -0.00015 
   1.5000000    52.5000000      -0.00003      -0.00014 
   1.5000000    53.0000000       0.00009      -0.00005 
   2.0000000    42.0000000      -0.00000      -0.00019 
   2.0000000    42.5000000       0.00013      -0.00026 
   2.0000000    43.0000000       0.00015      -0.00002 
   2.0000000    43.5000000       0.00016       0.00002 
   2.0000000    44.0000000       0.00010      -0.00004 
   2.0000000    44.5000000       0.00010      -0.00016 
   2.0000000    45.0000000       0.00011      -0.00017 
   2.0000000    45.5000000       0.00016      -0.00021 
   2.0000000    46.0000000       0.00019      -0.00014 
   2.0000000    46.5000000       0.00017      -0.00012 
   2.0000000    47.0000000       0.00018      -0.00006 
   2.0000000    47.5000000       0.00018      -0.00008 
   2.0000000    48.0000000       0.00020      -0.00011 
   2.0000000    48.5000000       0.00029      -0.00019 
   2.0000000    49.0000000       0.00034      -0.00024 
   2.0000000    49.5000000       0.00028      -0.00022 
   2.0000000    50.0000000       0.00020      -0.00017 
   2.0000000    50.5000000       0.00015      -0.00015 
   2.0000000    51.0000000       0.00012      -0.00014 
   2.0000000    51.5000000       0.00009      -0.00015 
   2.0000000    52.0000000      -0.00002      -0.00013 
   2.0000000    52.5000000      -0.00005      -0.00014 
   2.0000000    53.0000000       0.00006      -0.00001 
   2.5000000    42.0000000       0.00007      -0.00026 
   2.5000000    42.5000000       0.00015      -0.00037 
   2.5000000    43.0000000      -0.00008      -0.00011 
   2.5000000    43.5000000      -0.00001       0.00001 
   2.5000000    44.0000000       0.00001      -0.00006 
   2.5000000    44.5000000       0.00004      -0.00004 
   2.5000000    45.0000000       0.00009      -0.00006 
   2.5000000    45.5000000       0.00016      -0.00012 
   2.5000000    46.0000000       0.00022      -0.00013 
   2.5000000    46.5000000       0.00018      -0.00013 
