Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
  -4.0000000    42.0000000      -0.00021       0.00020 
  -4.0000000    43.0000000      -0.00043      -0.00001 
  -4.0000000    44.0000000      -0.00042       0.00017 
  -4.0000000    45.0000000      -0.00036       0.00009 
  -4.0000000    46.0000000      -0.00035       0.00003 
  -4.0000000    47.0000000      -0.00039      -0.00014 
  -4.0000000    48.0000000      -0.00006       0.00034 
  -4.0000000    49.0000000       0.00017       0.00048 
  -4.0000000    50.0000000       0.00018       0.00027 
  -4.0000000    51.0000000       0.00017       0.00017 
  -4.0000000    52.0000000       0.00017       0.00012 
  -4.0000000    53.0000000       0.00016       0.00010 
  -3.0000000    42.0000000      -0.00022       0.00020 
  -3.0000000    43.0000000      -0.00021       0.00024 
  -3.0000000    44.0000000      -0.00041       0.00014 
  -3.0000000    45.0000000      -0.00029       0.00011 
  -3.0000000    46.0000000      -0.00019      -0.00000 
  -3.0000000    47.0000000      -0.00034      -0.00005 
  -3.0000000    48.0000000      -0.00002       0.00043 
  -3.0000000    49.0000000       0.00010       0.00034 
  -3.0000000    50.0000000       0.00014       0.00014 
  -3.0000000    51.0000000       0.00016       0.00008 
  -3.0000000    52.0000000       0.00017       0.00007 
  -3.0000000    53.0000000       0.00013       0.00019 
  -2.0000000    42.0000000      -0.00025       0.00013 
  -2.0000000    43.0000000      -0.00024       0.00025 
  -2.0000000    44.0000000      -0.00016       0.00029 
  -2.0000000    45.0000000      -0.00020       0.00009 
  -2.0000000    46.0000000      -0.00013       0.00012 
  -2.0000000    47.0000000      -0.00018       0.00017 
  -2.0000000    48.0000000      -0.00010       0.00034 
  -2.0000000    49.0000000       0.00003       0.00019 
  -2.0000000    50.0000000       0.00010      -0.00002 
  -2.0000000    51.0000000       0.00015      -0.00000 
  -2.0000000    52.0000000       0.00014       0.00012 
  -2.0000000    53.0000000       0.00019      -0.00001 
  -1.0000000    42.0000000      -0.00027       0.00014 
  -1.0000000    43.0000000      -0.00030       0.00020 
  -1.0000000    44.0000000      -0.00017       0.00027 
  -1.0000000    45.0000000      -0.00006       0.00021 
  -1.0000000    46.0000000       0.00002       0.00018 
  -1.0000000    47.0000000      -0.00010       0.00027 
  -1.0000000    48.0000000      -0.00014       0.00037 
  -1.0000000    49.0000000      -0.00001       0.00014 
  -1.0000000    50.0000000       0.00010      -0.00007 
  -1.0000000    51.0000000       0.00015      -0.00007 
  -1.0000000    52.0000000       0.00014       0.00011 
  -1.0000000    53.0000000       0.00019      -0.00005 
   0.0000000    42.0000000      -0.00025       0.00012 
   0.0000000    43.0000000      -0.00035       0.00026 
   0.0000000    44.0000000      -0.00017       0.00022 
   0.0000000    45.0000000       0.00000       0.00008 
   0.0000000    46.0000000       0.00009       0.00009 
   0.0000000    47.0000000      -0.00004       0.00026 
   0.0000000    48.0000000      -0.00021       0.00046 
   0.0000000    49.0000000       0.00003       0.00010 
   0.0000000    50.0000000       0.00013      -0.00009 
   0.0000000    51.0000000       0.00015       0.00001 
   0.0000000    52.0000000       0.00019      -0.00010 
   0.0000000    53.0000000       0.00025      -0.00009 
   1.0000000    42.0000000      -0.00015       0.00001 
   1.0000000    43.0000000      -0.00039       0.00034 
   1.0000000    44.0000000       0.00003      -0.00000 
   1.0000000    45.0000000       0.00011      -0.00009 
   1.0000000    46.0000000       0.00014      -0.00005 
   1.0000000    47.0000000       0.00007       0.00008 
   1.0000000    48.0000000       0.00001       0.00017 
   1.0000000    49.0000000       0.00015      -0.00004 
   1.0000000    50.0000000       0.00017      -0.00015 
   1.0000000    51.0000000       0.00014      -0.00017 
   1.0000000    52.0000000       0.00009      -0.00015 
   1.0000000    53.0000000      -0.00004      -0.00014 
   2.0000000    42.0000000      -0.00000      -0.00019 
   2.0000000    43.0000000       0.00015      -0.00002 
   2.0000000    44.0000000       0.00010      -0.00004 
   2.0000000    45.0000000       0.00011      -0.00017 
   2.0000000    46.0000000       0.00019      -0.00014 
   2.0000000    47.0000000       0.00018      -0.00006 
   2.0000000    48.0000000       0.00020      -0.00011 
   2.0000000    49.0000000       0.00034      -0.00024 
   2.0000000    50.0000000       0.00020      -0.00017 
   2.0000000    51.0000000       0.00012      -0.00014 
   2.0000000    52.0000000      -0.00002      -0.00013 
   2.0000000    53.0000000       0.00006      -0.00001 
   3.0000000    42.0000000       0.00005      -0.00021 
   3.0000000    43.0000000      -0.00001       0.00006 
   3.0000000    44.0000000      -0.00001      -0.00002 
   3.0000000    45.0000000       0.00004       0.00006 
   3.0000000    46.0000000       0.00019      -0.00011 
   3.0000000    47.0000000       0.00015      -0.00005 
   3.0000000    48.0000000       0.00021      -0.00022 
   3.0000000    49.0000000       0.00035      -0.00030 
   3.0000000    50.0000000       0.00015      -0.00010 
   3.0000000    51.0000000       0.00010      -0.00015 
   3.0000000    52.0000000      -0.00009      -0.00005 
   3.0000000    53.0000000       0.00001       0.00009 
   4.0000000    42.0000000      -0.00010      -0.00002 
   4.0000000    43.0000000      -0.00022       0.00011 
   4.0000000    44.0000000      -0.00001       0.00006 
   4.0000000    45.0000000       0.00017       0.00015 
   4.0000000    46.0000000      -0.00006      -0.00007 
   4.0000000    47.0000000       0.00008      -0.00011 
   4.0000000    48.0000000       0.00006      -0.00015 
   4.0000000    49.0000000       0.00006      -0.00006 
   4.0000000    50.0000000       0.00008      -0.00007 
   4.0000000    51.0000000       0.00006      -0.00007 
   4.0000000    52.0000000       0.00006       0.00001 
   4.0000000    53.0000000       0.00004      -0.00004 
   5.0000000    42.0000000      -0.00015      -0.00000 
   5.0000000    43.0000000      -0.00015       0.00005 
   5.0000000    44.0000000      -0.00010       0.00007 
   5.0000000    45.0000000       0.00006       0.00001 
   5.0000000    46.0000000       0.00008      -0.00004 
   5.0000000    47.0000000       0.00018      -0.00015 
   5.0000000    48.0000000      -0.00005      -0.00005 
   5.0000000    49.0000000      -0.00016       0.00016 
   5.0000000    50.0000000      -0.00008       0.00009 
   5.0000000    51.0000000      -0.00002      -0.00005 
   5.0000000    52.0000000      -0.00003      -0.00002 
