France, Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   3.0000000    42.0000000      -0.00014       0.00003 
   3.0000000    42.2500000      -0.00013       0.00004 
   3.0000000    42.5000000      -0.00012       0.00004 
   3.0000000    42.7500000      -0.00012       0.00008 
   3.0000000    43.0000000      -0.00010       0.00007 
   3.0000000    43.2500000      -0.00006       0.00005 
   3.0000000    43.5000000      -0.00006       0.00005 
   3.0000000    43.7500000      -0.00002       0.00006 
   3.0000000    44.0000000       0.00003       0.00004 
   3.0000000    44.2500000       0.00001       0.00006 
   3.0000000    44.5000000       0.00002       0.00008 
   3.0000000    44.7500000       0.00002       0.00012 
   3.0000000    45.0000000      -0.00002       0.00016 
   3.0000000    45.2500000      -0.00000       0.00013 
   3.0000000    45.5000000       0.00002       0.00015 
   3.0000000    45.7500000       0.00007       0.00007 
   3.0000000    46.0000000       0.00006       0.00004 
   3.0000000    46.2500000       0.00007       0.00001 
   3.0000000    46.5000000       0.00007      -0.00004 
   3.0000000    46.7500000       0.00008      -0.00006 
   3.0000000    47.0000000       0.00008      -0.00008 
   3.0000000    47.2500000       0.00006      -0.00008 
   3.0000000    47.5000000       0.00005      -0.00008 
   3.0000000    47.7500000       0.00009      -0.00010 
   3.0000000    48.0000000       0.00008      -0.00011 
   3.2500000    42.0000000       0.00002       0.00002 
   3.2500000    42.2500000      -0.00015       0.00005 
   3.2500000    42.5000000      -0.00014       0.00005 
   3.2500000    42.7500000      -0.00012       0.00005 
   3.2500000    43.0000000      -0.00012       0.00008 
   3.2500000    43.2500000      -0.00009       0.00007 
   3.2500000    43.5000000      -0.00006       0.00005 
   3.2500000    43.7500000      -0.00006       0.00003 
   3.2500000    44.0000000       0.00003       0.00003 
   3.2500000    44.2500000       0.00004       0.00007 
   3.2500000    44.5000000       0.00006       0.00006 
   3.2500000    44.7500000       0.00008       0.00010 
   3.2500000    45.0000000       0.00013       0.00014 
   3.2500000    45.2500000       0.00001       0.00014 
   3.2500000    45.5000000       0.00005       0.00015 
