France, Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr],    SigmaVe[m/yr],    SigmaVn[m/yr],   SITE 
   8.6200000    44.9200000      -0.00109       0.00097        0.00023000      0.00013000       ALES 
   6.0800000    45.0900000      -0.00036       0.00007        0.00006000      0.00006000       ALPE 
   4.6700000    45.2400000       0.00041       0.00029        0.00012000      0.00008000       ANNO 
   8.2000000    44.9100000       0.00007       0.00038        0.00016000      0.00010000       ASTI 
   4.9500000    43.7100000       0.00006      -0.00075        0.00011000      0.00022000       AURI 
   4.2900000    46.9500000       0.00009      -0.00013        0.00009000      0.00015000       AUTN 
   5.3300000    43.4900000      -0.00029       0.00035        0.00008000      0.00012000       AXPV 
   6.6500000    44.3900000       0.00006      -0.00005        0.00011000      0.00012000       BACT 
   3.9700000    43.8800000       0.00002      -0.00012        0.00005000      0.00007000       BAUB 
   8.0500000    45.5600000       0.00002      -0.00041        0.00019000      0.00017000       BIEL 
   6.3700000    43.8700000      -0.00022       0.00014        0.00006000      0.00005000       BLIX 
   7.7100000    45.3900000      -0.00017      -0.00006        0.00012000      0.00006000       CAST 
   5.9100000    45.5800000       0.00000      -0.00008        0.00011000      0.00007000       CBRY 
   5.8800000    45.1100000      -0.00030      -0.00027        0.00004000      0.00005000       CHAM 
   6.8700000    45.9300000      -0.00202      -0.00065        0.00026000      0.00019000       CHMX 
   6.3600000    45.3000000      -0.00058       0.00008        0.00002000      0.00002000       CHTL 
   7.0200000    43.5500000       0.00014       0.00019        0.00007000      0.00009000       CNNS 
   9.1000000    45.8000000      -0.00048       0.00017        0.00010000      0.00008000       COMO 
   7.5500000    44.3900000       0.00023       0.00045        0.00032000      0.00026000       CUNE 
   4.8000000    45.3100000       0.00011      -0.00013        0.00024000      0.00016000       ESAB 
   7.5000000    43.7700000      -0.00027      -0.00003        0.00008000      0.00012000       EZEV 
   5.9900000    45.6400000      -0.00012       0.00007        0.00007000      0.00009000       FCLZ 
   8.9200000    44.4200000      -0.00012      -0.00005        0.00008000      0.00003000       GENO 
   5.7900000    43.6800000      -0.00018       0.00007        0.00016000      0.00010000       GINA 
   4.5200000    44.8400000       0.00045      -0.00024        0.00009000      0.00008000       GLRA 
   6.9200000    43.7500000       0.00004       0.00014        0.00010000      0.00005000       GRAS 
   7.0200000    45.1300000       0.00052      -0.00065        0.00012000      0.00012000       GRAV 
   9.8900000    43.4300000      -0.00034       0.00047        0.00004000      0.00005000       GROG 
   6.6600000    44.6600000      -0.00014      -0.00010        0.00010000      0.00014000       GUIL 
   7.6400000    45.0200000       0.00032      -0.00045        0.00005000      0.00007000       IENG 
   6.7100000    44.9100000       0.00028      -0.00079        0.00006000      0.00006000       JANU 
   9.8400000    44.0700000      -0.00010       0.00049        0.00004000      0.00007000       LASP 
   5.6200000    45.9200000       0.00004       0.00002        0.00007000      0.00004000       LEBE 
   5.4000000    45.1200000       0.00002      -0.00003        0.00004000      0.00003000       LFAZ 
   4.1000000    43.6900000      -0.00001      -0.00015        0.00010000      0.00005000       LUVI 
   6.5100000    46.0800000      -0.00032       0.00021        0.00006000      0.00006000       MARG 
   5.3500000    43.2800000      -0.00023       0.00003        0.00009000      0.00006000       MARS 
   5.7200000    43.9200000      -0.00019       0.00002        0.00006000      0.00007000       MICH 
   6.7100000    45.2100000      -0.00010      -0.00028        0.00003000      0.00003000       MODA 
   7.9300000    45.0700000       0.00018      -0.00006        0.00019000      0.00009000       MONC 
   7.8300000    44.3900000       0.00017      -0.00008        0.00007000      0.00006000       MOND 
   7.0600000    45.7700000      -0.00053      -0.00046        0.00006000      0.00008000       MRGE 
   3.8600000    43.6400000      -0.00002       0.00003        0.00005000      0.00002000       MTPL 
   7.2300000    43.7000000       0.00011       0.00006        0.00014000      0.00014000       NICA 
   7.3000000    43.7300000       0.00000      -0.00010        0.00003000      0.00007000       NICE 
   4.3600000    43.8300000      -0.00025       0.00007        0.00003000      0.00003000       NIME 
   8.6100000    45.4500000      -0.00056      -0.00012        0.00021000      0.00008000       NOVA 
   4.8100000    43.3800000      -0.00021       0.00033        0.00004000      0.00010000       PALI 
   9.1400000    45.2000000      -0.00054       0.00047        0.00025000      0.00012000       PAVI 
   4.1600000    46.3800000       0.00002      -0.00005        0.00007000      0.00006000       POBU 
   6.2100000    42.9800000       0.00053      -0.00041        0.00016000      0.00017000       PQRL 
   6.3400000    46.9000000      -0.00085      -0.00010        0.00066000      0.00010000       PRNY 
   6.4800000    44.8600000       0.00033      -0.00006        0.00007000      0.00006000       PUYA 
   3.8800000    45.0400000       0.00007       0.00018        0.00005000      0.00010000       PUYV 
   6.9800000    44.2700000       0.00028      -0.00019        0.00030000      0.00016000       RABU 
   6.6300000    45.6900000      -0.00045      -0.00044        0.00013000      0.00012000       ROSD 
   5.4800000    43.9400000      -0.00013       0.00020        0.00006000      0.00014000       RSTL 
   4.4700000    44.2600000      -0.00002       0.00012        0.00003000      0.00004000       SAUV 
   7.6600000    44.6500000       0.00022      -0.00015        0.00010000      0.00005000       SAVI 
   5.1500000    46.9900000       0.00007      -0.00003        0.00005000      0.00010000       SEUR 
   5.4200000    46.2200000      -0.00016       0.00018        0.00036000      0.00032000       SIMA 
   4.6800000    45.8800000       0.00004       0.00007        0.00002000      0.00002000       SJDV 
   7.0500000    43.6100000      -0.00010      -0.00001        0.00004000      0.00003000       SOPH 
   5.7600000    45.2400000       0.00013       0.00001        0.00010000      0.00007000       STEY 
   4.5700000    44.1900000       0.00035       0.00007        0.00008000      0.00006000       STGR 
   4.4200000    43.4500000      -0.00023      -0.00007        0.00007000      0.00007000       STMR 
   6.1100000    44.5700000      -0.00033      -0.00023        0.00015000      0.00021000       STV2 
   4.2900000    45.1200000       0.00024       0.00008        0.00006000      0.00004000       TENC 
   7.6600000    45.0600000      -0.00001      -0.00006        0.00011000      0.00007000       TORI 
   6.6000000    43.2200000      -0.00016       0.00018        0.00003000      0.00003000       TROP 
   5.6300000    46.9800000       0.00037       0.00005        0.00008000      0.00009000       VAUD 
   5.5500000    45.0700000      -0.00043       0.00021        0.00007000      0.00004000       VILR 
   5.8200000    43.7300000       0.00019       0.00034        0.00006000      0.00007000       VINO 
   4.9500000    44.3200000      -0.00030       0.00018        0.00009000      0.00006000       VISN 
   7.4700000    46.8800000       0.00008       0.00017        0.00003000      0.00012000       ZIM2 
   7.4700000    46.8800000      -0.00032       0.00034        0.00010000      0.00006000       ZIMM 
   7.4700000    46.8800000      -0.00012       0.00026        0.00000000      0.00000000        ZIM 
