# Normal Strain Field, 
# Long [deg],   Lat [deg],   Eps1,          Eps2,         AziEps2 [deg] 
  -3.8750000    42.1250000  +3.034201e-10  -2.676794e-09      93.21 
  -3.8750000    42.3750000  +2.828138e-10  -2.609437e-10      79.64 
  -3.8750000    42.6250000  +1.668655e-09  -5.960785e-09     149.90 
  -3.8750000    42.8750000  +9.418697e-09  -4.233599e-09       8.59 
  -3.8750000    43.1250000  +1.923634e-09  +2.511856e-10      86.32 
  -3.8750000    43.3750000  +4.608479e-10  -2.959731e-10      29.40 
  -3.8750000    43.6250000  +5.241979e-09  +2.805315e-10      83.90 
  -3.8750000    43.8750000  +2.896537e-09  -3.639992e-09     137.62 
  -3.8750000    44.1250000  +3.311796e-10  -7.445138e-10      11.58 
  -3.8750000    44.3750000  +7.491596e-10  -2.151500e-09      21.52 
  -3.8750000    44.6250000  +4.278391e-10  -7.767937e-10       9.82 
  -3.8750000    44.8750000  +4.625333e-10  +8.457566e-11     178.96 
  -3.8750000    45.1250000  +5.866914e-10  -8.639573e-10       4.67 
  -3.8750000    45.3750000  +1.073049e-09  +3.539521e-10      52.68 
  -3.8750000    45.6250000  +7.291410e-10  -1.904373e-09     143.75 
  -3.8750000    45.8750000  +5.555045e-10  -1.080330e-09     174.37 
  -3.8750000    46.1250000  +8.268896e-10  -3.808615e-09      15.45 
  -3.8750000    46.3750000  +4.241018e-10  -1.043737e-09     154.20 
  -3.8750000    46.6250000  +5.456773e-10  -1.450154e-09     147.31 
  -3.8750000    46.8750000  +1.676938e-10  -1.382803e-09     147.35 
  -3.8750000    47.1250000  +1.270769e-10  -1.522495e-09     131.52 
  -3.8750000    47.3750000  +1.598828e-09  -2.058287e-09     101.74 
  -3.8750000    47.6250000  +7.303866e-09  -4.408985e-09      91.19 
  -3.8750000    47.8750000  +9.752329e-09  -2.357105e-09      77.10 
  -3.8750000    48.1250000  +7.141358e-09  -9.173362e-10      63.42 
  -3.8750000    48.3750000  +2.326474e-09  -9.227556e-10      69.47 
  -3.8750000    48.6250000  -5.324094e-10  -1.317914e-09     118.74 
  -3.8750000    48.8750000  -6.124811e-10  -2.161686e-09     149.65 
  -3.8750000    49.1250000  -4.583210e-10  -2.392586e-09     155.16 
  -3.8750000    49.3750000  -3.114882e-10  -2.367311e-09     156.04 
  -3.8750000    49.6250000  -1.840317e-10  -2.215713e-09     155.28 
