# Horizontal Surface - Deformation field  
#  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
  -4.0000000    42.0000000      -0.00020       0.00020 
  -4.0000000    42.2500000      -0.00019       0.00021 
  -4.0000000    42.5000000      -0.00019       0.00022 
  -4.0000000    42.7500000      -0.00038       0.00011 
  -4.0000000    43.0000000      -0.00043      -0.00000 
  -4.0000000    43.2500000      -0.00044       0.00005 
  -4.0000000    43.5000000      -0.00044       0.00005 
  -4.0000000    43.7500000      -0.00042       0.00019 
  -4.0000000    44.0000000      -0.00041       0.00017 
  -4.0000000    44.2500000      -0.00041       0.00015 
  -4.0000000    44.5000000      -0.00035       0.00010 
  -4.0000000    44.7500000      -0.00035       0.00008 
  -4.0000000    45.0000000      -0.00035       0.00009 
  -4.0000000    45.2500000      -0.00035       0.00006 
  -4.0000000    45.5000000      -0.00033       0.00008 
  -4.0000000    45.7500000      -0.00034       0.00006 
  -4.0000000    46.0000000      -0.00034       0.00003 
  -4.0000000    46.2500000      -0.00028      -0.00007 
  -4.0000000    46.5000000      -0.00031      -0.00009 
  -4.0000000    46.7500000      -0.00036      -0.00011 
  -4.0000000    47.0000000      -0.00039      -0.00014 
  -4.0000000    47.2500000      -0.00042      -0.00016 
  -4.0000000    47.5000000      -0.00039      -0.00012 
  -4.0000000    47.7500000      -0.00025       0.00009 
  -4.0000000    48.0000000      -0.00006       0.00034 
  -4.0000000    48.2500000       0.00007       0.00049 
  -4.0000000    48.5000000       0.00014       0.00055 
  -4.0000000    48.7500000       0.00017       0.00053 
  -4.0000000    49.0000000       0.00017       0.00048 
  -4.0000000    49.2500000       0.00018       0.00042 
  -4.0000000    49.5000000       0.00018       0.00037 
  -4.0000000    49.7500000       0.00018       0.00031 
  -4.0000000    50.0000000       0.00018       0.00027 
  -4.0000000    50.2500000       0.00018       0.00023 
  -4.0000000    50.5000000       0.00017       0.00021 
  -4.0000000    50.7500000       0.00017       0.00019 
  -4.0000000    51.0000000       0.00017       0.00017 
  -4.0000000    51.2500000       0.00017       0.00016 
  -4.0000000    51.5000000       0.00017       0.00014 
  -4.0000000    51.7500000       0.00017       0.00013 
  -4.0000000    52.0000000       0.00017       0.00012 
  -4.0000000    52.2500000       0.00017       0.00011 
  -4.0000000    52.5000000       0.00017       0.00011 
  -4.0000000    52.7500000       0.00017       0.00010 
  -4.0000000    53.0000000       0.00017       0.00010 
  -3.7500000    42.0000000      -0.00025       0.00019 
  -3.7500000    42.2500000      -0.00020       0.00021 
  -3.7500000    42.5000000      -0.00020       0.00022 
  -3.7500000    42.7500000      -0.00019       0.00023 
  -3.7500000    43.0000000      -0.00042       0.00001 
  -3.7500000    43.2500000      -0.00043       0.00006 
  -3.7500000    43.5000000      -0.00043       0.00006 
  -3.7500000    43.7500000      -0.00043       0.00005 
  -3.7500000    44.0000000      -0.00041       0.00017 
  -3.7500000    44.2500000      -0.00040       0.00016 
  -3.7500000    44.5000000      -0.00035       0.00011 
  -3.7500000    44.7500000      -0.00034       0.00009 
  -3.7500000    45.0000000      -0.00034       0.00009 
  -3.7500000    45.2500000      -0.00033       0.00006 
  -3.7500000    45.5000000      -0.00033       0.00004 
  -3.7500000    45.7500000      -0.00032       0.00006 
  -3.7500000    46.0000000      -0.00033       0.00003 
  -3.7500000    46.2500000      -0.00027      -0.00007 
  -3.7500000    46.5000000      -0.00031      -0.00009 
  -3.7500000    46.7500000      -0.00037      -0.00012 
  -3.7500000    47.0000000      -0.00041      -0.00016 
  -3.7500000    47.2500000      -0.00045      -0.00020 
  -3.7500000    47.5000000      -0.00048      -0.00022 
  -3.7500000    47.7500000      -0.00028       0.00006 
  -3.7500000    48.0000000      -0.00005       0.00037 
  -3.7500000    48.2500000       0.00006       0.00049 
  -3.7500000    48.5000000       0.00012       0.00052 
  -3.7500000    48.7500000       0.00015       0.00050 
  -3.7500000    49.0000000       0.00016       0.00045 
  -3.7500000    49.2500000       0.00016       0.00039 
  -3.7500000    49.5000000       0.00017       0.00034 
  -3.7500000    49.7500000       0.00017       0.00029 
  -3.7500000    50.0000000       0.00017       0.00024 
  -3.7500000    50.2500000       0.00017       0.00022 
  -3.7500000    50.5000000       0.00017       0.00019 
  -3.7500000    50.7500000       0.00017       0.00017 
  -3.7500000    51.0000000       0.00017       0.00015 
  -3.7500000    51.2500000       0.00017       0.00014 
  -3.7500000    51.5000000       0.00017       0.00013 
  -3.7500000    51.7500000       0.00017       0.00012 
  -3.7500000    52.0000000       0.00017       0.00011 
  -3.7500000    52.2500000       0.00017       0.00010 
  -3.7500000    52.5000000       0.00017       0.00010 
  -3.7500000    52.7500000       0.00017       0.00009 
  -3.7500000    53.0000000       0.00017       0.00009 
  -3.5000000    42.0000000      -0.00026       0.00020 
  -3.5000000    42.2500000      -0.00020       0.00021 
  -3.5000000    42.5000000      -0.00020       0.00022 
  -3.5000000    42.7500000      -0.00020       0.00023 
  -3.5000000    43.0000000      -0.00019       0.00024 
  -3.5000000    43.2500000      -0.00043       0.00007 
  -3.5000000    43.5000000      -0.00042       0.00007 
  -3.5000000    43.7500000      -0.00042       0.00007 
  -3.5000000    44.0000000      -0.00040       0.00018 
  -3.5000000    44.2500000      -0.00039       0.00016 
  -3.5000000    44.5000000      -0.00038       0.00014 
  -3.5000000    44.7500000      -0.00033       0.00009 
  -3.5000000    45.0000000      -0.00032       0.00009 
  -3.5000000    45.2500000      -0.00032       0.00007 
  -3.5000000    45.5000000      -0.00032       0.00005 
  -3.5000000    45.7500000      -0.00031       0.00006 
  -3.5000000    46.0000000      -0.00023      -0.00004 
  -3.5000000    46.2500000      -0.00027      -0.00006 
  -3.5000000    46.5000000      -0.00031      -0.00008 
  -3.5000000    46.7500000      -0.00036      -0.00011 
  -3.5000000    47.0000000      -0.00040      -0.00014 
  -3.5000000    47.2500000      -0.00045      -0.00019 
  -3.5000000    47.5000000      -0.00051      -0.00025 
  -3.5000000    47.7500000      -0.00017       0.00025 
  -3.5000000    48.0000000      -0.00001       0.00044 
  -3.5000000    48.2500000       0.00006       0.00049 
  -3.5000000    48.5000000       0.00010       0.00049 
  -3.5000000    48.7500000       0.00013       0.00047 
  -3.5000000    49.0000000       0.00014       0.00042 
  -3.5000000    49.2500000       0.00015       0.00036 
  -3.5000000    49.5000000       0.00015       0.00030 
  -3.5000000    49.7500000       0.00016       0.00025 
  -3.5000000    50.0000000       0.00016       0.00021 
  -3.5000000    50.2500000       0.00016       0.00019 
  -3.5000000    50.5000000       0.00016       0.00016 
  -3.5000000    50.7500000       0.00017       0.00014 
  -3.5000000    51.0000000       0.00017       0.00013 
  -3.5000000    51.2500000       0.00017       0.00012 
  -3.5000000    51.5000000       0.00017       0.00011 
  -3.5000000    51.7500000       0.00017       0.00010 
  -3.5000000    52.0000000       0.00017       0.00009 
  -3.5000000    52.2500000       0.00017       0.00009 
  -3.5000000    52.5000000       0.00017       0.00008 
  -3.5000000    52.7500000       0.00017       0.00008 
  -3.5000000    53.0000000       0.00017       0.00008 
  -3.2500000    42.0000000      -0.00026       0.00020 
  -3.2500000    42.2500000      -0.00021       0.00022 
  -3.2500000    42.5000000      -0.00021       0.00022 
  -3.2500000    42.7500000      -0.00020       0.00023 
  -3.2500000    43.0000000      -0.00020       0.00024 
  -3.2500000    43.2500000      -0.00016       0.00028 
  -3.2500000    43.5000000      -0.00042       0.00008 
  -3.2500000    43.7500000      -0.00041       0.00008 
  -3.2500000    44.0000000      -0.00043       0.00013 
  -3.2500000    44.2500000      -0.00038       0.00016 
  -3.2500000    44.5000000      -0.00037       0.00014 
  -3.2500000    44.7500000      -0.00031       0.00010 
  -3.2500000    45.0000000      -0.00031       0.00010 
  -3.2500000    45.2500000      -0.00030       0.00008 
  -3.2500000    45.5000000      -0.00030       0.00005 
  -3.2500000    45.7500000      -0.00029       0.00007 
  -3.2500000    46.0000000      -0.00021      -0.00002 
  -3.2500000    46.2500000      -0.00025      -0.00004 
  -3.2500000    46.5000000      -0.00029      -0.00006 
  -3.2500000    46.7500000      -0.00034      -0.00008 
  -3.2500000    47.0000000      -0.00038      -0.00011 
  -3.2500000    47.2500000      -0.00041      -0.00012 
  -3.2500000    47.5000000      -0.00038      -0.00007 
  -3.2500000    47.7500000      -0.00011       0.00033 
  -3.2500000    48.0000000       0.00001       0.00046 
  -3.2500000    48.2500000       0.00005       0.00048 
  -3.2500000    48.5000000       0.00009       0.00047 
  -3.2500000    48.7500000       0.00011       0.00043 
