Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
  -6.0000000    42.0000000       0.00000      -0.00000 
  -6.0000000    42.2500000       0.00000      -0.00000 
  -6.0000000    42.5000000       0.00000       0.00000 
  -6.0000000    42.7500000       0.00000       0.00000 
  -6.0000000    43.0000000       0.00000       0.00000 
  -6.0000000    43.2500000       0.00000       0.00000 
  -6.0000000    43.5000000       0.00000       0.00000 
  -6.0000000    43.7500000       0.00000      -0.00000 
  -6.0000000    44.0000000       0.00000      -0.00000 
  -6.0000000    44.2500000      -0.00000      -0.00000 
  -6.0000000    44.5000000      -0.00000      -0.00000 
  -6.0000000    44.7500000      -0.00000      -0.00000 
  -6.0000000    45.0000000      -0.00000      -0.00000 
  -6.0000000    45.2500000      -0.00000      -0.00000 
  -6.0000000    45.5000000      -0.00000      -0.00000 
  -6.0000000    45.7500000      -0.00000      -0.00000 
  -6.0000000    46.0000000      -0.00000      -0.00000 
  -6.0000000    46.2500000      -0.00000      -0.00000 
  -6.0000000    46.5000000      -0.00000      -0.00000 
  -6.0000000    46.7500000       0.00000      -0.00000 
  -6.0000000    47.0000000       0.00000       0.00000 
  -6.0000000    47.2500000       0.00000       0.00000 
  -6.0000000    47.5000000       0.00000       0.00000 
  -6.0000000    47.7500000       0.00000       0.00000 
  -6.0000000    48.0000000       0.00000       0.00000 
  -6.0000000    48.2500000       0.00000       0.00000 
  -6.0000000    48.5000000       0.00000       0.00000 
  -6.0000000    48.7500000       0.00000       0.00000 
  -6.0000000    49.0000000       0.00000       0.00000 
  -5.7500000    42.0000000       0.00000      -0.00000 
  -5.7500000    42.2500000       0.00000      -0.00000 
  -5.7500000    42.5000000       0.00000       0.00000 
  -5.7500000    42.7500000       0.00000       0.00000 
  -5.7500000    43.0000000       0.00000       0.00000 
  -5.7500000    43.2500000       0.00000       0.00000 
  -5.7500000    43.5000000       0.00000       0.00000 
  -5.7500000    43.7500000       0.00000       0.00000 
  -5.7500000    44.0000000       0.00000      -0.00000 
  -5.7500000    44.2500000      -0.00000      -0.00000 
  -5.7500000    44.5000000      -0.00000      -0.00000 
  -5.7500000    44.7500000      -0.00000      -0.00000 
  -5.7500000    45.0000000      -0.00000      -0.00000 
  -5.7500000    45.2500000      -0.00000      -0.00000 
  -5.7500000    45.5000000      -0.00000      -0.00000 
  -5.7500000    45.7500000      -0.00000      -0.00000 
  -5.7500000    46.0000000      -0.00000      -0.00000 
  -5.7500000    46.2500000      -0.00000      -0.00000 
  -5.7500000    46.5000000      -0.00000      -0.00000 
