Long [deg],  Lat[deg],    Ve[m/yr],  Vn[m/yr],  SVe[m/yr], SVn[m/yr], angle[deg],    Name
-4.0000000  41.0000000   -0.00020   0.00016     0.000158    0.000164    0.0 
-4.0000000  41.5000000   -0.00025   0.00018     0.000077    0.000157    0.0 
-4.0000000  42.0000000   -0.00020   0.00021     0.000120    0.000155    0.0 
-4.0000000  42.5000000   -0.00020   0.00022     0.000116    0.000150    0.0 
-4.0000000  43.0000000   -0.00043  -0.00000     0.000109    0.000016    0.0 
-4.0000000  43.5000000   -0.00043   0.00006     0.000126    0.000071    0.0 
-4.0000000  44.0000000   -0.00043   0.00017     0.000080    0.000028    0.0 
-4.0000000  44.5000000   -0.00041   0.00013     0.000077    0.000022    0.0 
-4.0000000  45.0000000   -0.00041   0.00012     0.000047    0.000048    0.0 
-4.0000000  45.5000000   -0.00037   0.00014     0.000027    0.000052    0.0 
-4.0000000  46.0000000   -0.00038   0.00007     0.000017    0.000044    0.0 
-4.0000000  46.5000000   -0.00040  -0.00000     0.000013    0.000033    0.0 
-4.0000000  47.0000000   -0.00040  -0.00013     0.000085    0.000068    0.0 
-4.0000000  47.5000000   -0.00040  -0.00011     0.000068    0.000057    0.0 
-4.0000000  48.0000000   -0.00006   0.00034     0.000063    0.000054    0.0 
-4.0000000  48.5000000    0.00014   0.00054     0.000066    0.000055    0.0 
-4.0000000  49.0000000    0.00017   0.00048     0.000080    0.000064    0.0 
-4.0000000  49.5000000    0.00016   0.00038     0.000092    0.000072    0.0 
-4.0000000  50.0000000    0.00017   0.00031     0.000088    0.000080    0.0 
-4.0000000  50.5000000    0.00015   0.00026     0.000084    0.000042    0.0 
-4.0000000  51.0000000    0.00015   0.00022     0.000094    0.000106    0.0 
-4.0000000  51.5000000    0.00014   0.00019     0.000102    0.000115    0.0 
-4.0000000  52.0000000    0.00014   0.00027     0.000129    0.000094    0.0 
-4.0000000  52.5000000    0.00013   0.00027     0.000137    0.000104    0.0 
-4.0000000  53.0000000    0.00012   0.00028     0.000145    0.000112    0.0 
-3.5000000  41.0000000   -0.00020   0.00016     0.000154    0.000160    0.0 
-3.5000000  41.5000000   -0.00021   0.00018     0.000148    0.000155    0.0 
-3.5000000  42.0000000   -0.00025   0.00020     0.000073    0.000147    0.0 
-3.5000000  42.5000000   -0.00020   0.00023     0.000112    0.000145    0.0 
-3.5000000  43.0000000   -0.00019   0.00024     0.000109    0.000140    0.0 
-3.5000000  43.5000000   -0.00042   0.00008     0.000121    0.000067    0.0 
-3.5000000  44.0000000   -0.00041   0.00017     0.000077    0.000023    0.0 
-3.5000000  44.5000000   -0.00039   0.00013     0.000074    0.000017    0.0 
-3.5000000  45.0000000   -0.00034   0.00013     0.000072    0.000023    0.0 
-3.5000000  45.5000000   -0.00034   0.00014     0.000020    0.000046    0.0 
