Long, [deg]     Lat, [deg]   velE,[mm/yr]  velN,[mm/yr]    SITE
13.514899        46.547935     0.000972      0.002430      ACOM 
12.174515        46.527143    -0.000083      0.002291      AFAL 
3.466426         43.296382     0.000287      0.001215      AGDE 
7.139619         45.467941     0.000667      0.001285      AGNE 
3.581259         44.121398     0.000569      0.001533      AIGL 
8.762614         41.927458    -0.000158      0.001696      AJAC 
3.711753         45.198776     0.000088      0.000384      ALLE 
6.083461         45.086614     0.000251      0.001454      ALPE 
4.665692         45.241380     0.000933      0.001545      ANNO 
2.766036         43.241931     0.000329      0.001005      ARMI 
7.196707         48.216850     0.001151      0.001073      AUBU 
3.283645         44.721793     0.000366      0.001595      AUMO 
4.288974         46.953841     0.000765      0.000641      AUTN 
4.606176         46.194827     0.001061      0.001886      AVEN 
5.333196         43.491215     0.001055      0.000853      AXPV 
4.156317         44.369202     0.000602      0.001449      BANN 
7.479630         47.633066     0.000254      0.002043      BART 
3.966963         43.876901     0.000547      0.001268      BAUB 
7.658247         48.708785    -0.000377      0.001382      BIWI 
6.366690         43.873538     0.000186      0.001265      BLIX 
11.356773        44.500217     0.001626      0.005105      BOLG 
11.034280        45.599782     0.000644      0.002405      BOSC 
10.550999        47.548715     0.000943      0.001824      BREI 
355.503405       48.380494     0.000867      0.001458      BRST 
5.989385         47.246881     0.000896      0.002469      BSCN 
5.353595         48.486153     0.000355      0.001793      BUAN 
5.272561         44.277895     0.000068      0.000609      BUIS 
5.910594         44.632839     0.000046     -0.000451      BURE 
11.336796        46.499024     0.000306      0.002603      BZRG 
13.123998        43.111986     0.002287      0.004576      CAME 
12.435020        46.008294     0.000873      0.002179      CANV 
3.508966         43.286361    -0.000144      0.001426      CAPA 
8.680203         46.042341     0.000296      0.001543      CARZ 
1.086051         43.206850     0.000126      0.001918      CAZE 
5.881077         45.110715     0.000333      0.001189      CHAM 
5.152128         45.733373     0.000690      0.001016      CHAR 
359.592300       46.133463     0.000493      0.001538      CHIZ 
6.872999         45.926155    -0.001161      0.000785      CHMX 
4.861771         43.881369     0.000592      0.001526      CHRN 
6.358556         45.304137     0.000020      0.001478      CHTL 
6.927051         44.248448     0.002566      0.002877      CLAP 
3.111075         45.760963     0.000950      0.001463      CLFD 
12.979095        45.958531     0.000481      0.003583      CODR 
9.095622         45.802163     0.001063      0.000683      COMO 
2.855117         44.199659     0.000143      0.000966      CURA 
8.260999         46.313560     0.000436      0.001538      DEVE 
6.699671         49.371565     0.000380      0.000672      DILL 
13.729693        51.029826     0.000598      0.000892      DRES 
2.051995         45.403353     0.000221      0.001595      EGLT 
12.384902        46.716208     0.001279      0.003109      ELMO 
7.639902         48.549360     0.000763      0.001442      ENTZ 
7.762493         48.579843     0.000718      0.001090      EOST 
7.364209         48.873027     0.000431      0.001214      ERCK 
11.004573        49.586493     0.001154      0.001718      ERLA 
4.797905         45.307105     0.000820      0.001429      ESAB 
5.350887         48.124433    -0.000103      0.001501      ESNO 
11.314963        47.606792     0.000931      0.001772      FAHR 
5.985683         45.643002     0.000810      0.001348      FCLZ 
11.723796        46.303948     0.000595      0.001889      FDOS 
2.029589         43.157151     0.000366      0.001481      FENO 
7.028308         45.866720     0.000534      0.002170      FERH 
7.028308         45.866720     0.006043     -0.009342      FERR 
8.664967         50.090578     0.000748      0.001201      FFMJ 
2.794899         43.048162     0.000176      0.001452      FJCP 
6.745610         47.659695    -0.000321      0.002145      FRAC 
13.001145        46.414153     0.000622      0.002416      FUSE 
12.249435        44.676902     0.001206      0.002010      GARI 
8.921143         44.419388     0.000950      0.001345      GENO 
5.786980         43.675723     0.000525      0.001341      GINA 
13.800632        47.920673     0.000942      0.001480      GMND 
9.950559         51.500215    -0.000015      0.001860      GOET 
6.920573         43.754738     0.000821      0.001717      GRAS 
15.493480        47.067130     0.001219      0.002328      GRAZ 
356.492018       47.648008    -0.001566      0.000832      GROI 
14.543715        46.048134     0.000747      0.003410      GSR1 
6.661867         44.662244     0.000497      0.001578      GUIL 
358.222039       49.580662     0.000502      0.001411      HEAU 
12.384902        46.716208     0.000468     -0.000761      HELM 
11.386092        47.312905     0.000999      0.001894      HFL2 
11.386092        47.312905     0.000693      0.002032      HFLK 
10.072597        47.492583     0.000619      0.001672      HGRA 
13.771320        47.377256     0.000666      0.003194      HKBL 
11.875891        50.312903     0.001471      0.001145      HOFJ 
12.249270        47.747464     0.000655      0.002131      HRIE 
7.596166         47.833948     0.000635      0.001693      HUEG 
7.639405         45.015133     0.001031      0.001043      IENG 
11.213799        43.795649     0.000616      0.004212      IGMI 
6.710034         44.910363     0.001078      0.000887      JANU 
13.416060        46.183960     0.000389      0.003065      JOAN 
5.795659         46.528574     0.000616      0.001611      JOUX 
