Velocity field of ALP_NET, file FMC_IGB_W1.SNX 
	     Apprixmate coordinates 
Site     Long        Lat       Height         Ve_res  SVe      Vn_res  SVn      Vu     Svu     Start     End    Tobs(used)  
         deg         deg          m              mm/yr            mm/yr            mm/yr       yyyy.y   yyyy.y  years
ACOM     13.51       46.55     1774.7         0.16 ± 0.04      1.09 ± 0.05      1.08 ± 0.17    2005.0 - 2016.4  11.4 
AFAL     12.17       46.53     2284.1        -0.76 ± 0.05      0.79 ± 0.06      1.29 ± 0.20    2005.0 - 2016.4  11.4 
AGDE      3.47       43.30       65.8        -0.20 ± 0.08     -0.19 ± 0.10      0.05 ± 0.31    2007.7 - 2016.2   8.6 
AGNE      7.14       45.47     2354.6         0.01 ± 0.15     -0.22 ± 0.17      1.42 ± 0.67    2007.2 - 2015.0   7.8 
AIGL      3.58       44.12     1618.8        -0.11 ± 0.13      0.06 ± 0.16      0.64 ± 0.53    2004.0 - 2016.4  12.3 
AJAC      8.76       41.93       98.8        -0.11 ± 0.13     -0.17 ± 0.16     -0.37 ± 0.54    2004.0 - 2016.4  12.0 
ALLE      3.71       45.20     1084.9        -0.12 ± 0.57      0.26 ± 0.64     -0.02 ± 2.28    2012.5 - 2014.5   2.0 
ALPE      6.08       45.09     1892.2        -0.33 ± 0.07      0.07 ± 0.08      0.82 ± 0.28    2006.8 - 2016.4   9.6 
ANNO      4.67       45.24      465.6         0.32 ± 0.08      0.08 ± 0.09      0.00 ± 0.32    2007.5 - 2015.0   7.5 
ARMI      2.77       43.24      101.5        -0.03 ± 0.09     -0.29 ± 0.10      0.09 ± 0.34    2007.6 - 2015.0   7.4 
AUBU      7.20       48.22     1151.8         0.40 ± 0.13     -0.17 ± 0.16     -0.58 ± 0.61    2008.5 - 2016.4   7.9 
AUMO      3.28       44.72     1115.6         0.01 ± 0.10      0.19 ± 0.12     -0.36 ± 0.40    2008.6 - 2015.0   6.4 
AUTN      4.29       46.95      353.6         0.09 ± 0.11     -0.10 ± 0.14     -0.56 ± 0.44    2005.4 - 2016.4  10.9 
AVEN      4.61       46.19      740.8         0.53 ± 0.08      0.31 ± 0.09     -0.54 ± 0.32    2007.5 - 2015.0   7.5 
AXPV      5.33       43.49      229.4        -0.08 ± 0.09      0.21 ± 0.10     -0.42 ± 0.33    2004.0 - 2016.4  12.3 
BANN      4.16       44.37      357.6        -0.04 ± 0.09      0.13 ± 0.11      0.05 ± 0.33    2004.0 - 2016.4  12.4 
BART      7.48       47.63      321.0        -0.00 ± 0.22      0.26 ± 0.26     -0.01 ± 0.87    2011.2 - 2015.0   3.8 
BAUB      3.97       43.88      211.0         0.01 ± 0.14     -0.04 ± 0.17      0.47 ± 0.55    2007.9 - 2013.3   5.4 
BI2I      7.66       48.71      237.8        -0.74 ± 0.18     -0.33 ± 0.22      0.42 ± 0.72    2007.5 - 2010.5   3.0 
BIWI      7.66       48.71      237.1        -0.74 ± 0.18     -0.33 ± 0.22      0.42 ± 0.72    2010.5 - 2014.4   3.9 
BLIX      6.37       43.87     1077.1        -0.09 ± 0.11      0.01 ± 0.13      0.33 ± 0.44    2009.3 - 2016.4   7.1 
BOSC     11.03       45.60      910.2        -0.32 ± 0.18      1.04 ± 0.22     -0.17 ± 0.73    2006.2 - 2014.0   7.6 
BREI     10.55       47.55     1888.0         0.11 ± 0.05      0.43 ± 0.06      0.67 ± 0.19    2005.7 - 2016.1  10.4 
BRST     -4.50       48.38       65.8         0.18 ± 0.12      0.62 ± 0.14     -0.33 ± 0.47    2009.5 - 2016.4   6.9 
BSCN      5.99       47.25      359.5         0.19 ± 0.13     -0.12 ± 0.15      0.23 ± 0.51    2005.4 - 2016.4  10.9 
BUAN      5.35       48.49      416.3        -0.31 ± 0.08      0.15 ± 0.10      0.11 ± 0.31    2007.9 - 2015.7   7.8 
BUIS      5.27       44.28      445.8        -0.20 ± 0.09     -0.19 ± 0.11     -0.15 ± 0.37    2008.5 - 2015.0   6.5 
BURE      5.91       44.63     2614.6        -0.39 ± 0.48      0.51 ± 0.62      0.97 ± 2.03    2004.7 - 2008.0   3.2 
BZRG     11.34       46.50      329.1        -0.20 ± 0.11      0.50 ± 0.14      1.18 ± 0.46    2004.0 - 2016.4  12.3 
CAME     13.12       43.11      498.7         1.14 ± 0.17      3.33 ± 0.21      0.99 ± 0.75    2004.0 - 2009.9   5.9 
CANV     12.44       46.01      965.9        -0.13 ± 0.05      1.01 ± 0.06      0.10 ± 0.20    2005.0 - 2016.4  11.4 
CAPA      3.51       43.29       71.1        -0.33 ± 0.26      0.28 ± 0.29      0.33 ± 0.98    2012.4 - 2015.0   2.6 
CARZ      8.68       46.04     1165.3        -0.35 ± 0.09      0.11 ± 0.11      1.30 ± 0.36    2005.8 - 2015.0   9.2 
CAZE      1.09       43.21      306.2        -0.49 ± 0.17      0.43 ± 0.19     -0.15 ± 0.70    2010.4 - 2015.0   4.6 
CHAM      5.88       45.11     1874.6        -0.38 ± 0.07     -0.24 ± 0.08      1.07 ± 0.27    2004.0 - 2014.9  10.9 
CHAR      5.15       45.73      266.8         0.03 ± 0.17     -0.33 ± 0.21      0.74 ± 0.65    2005.0 - 2009.3   4.4 
CHIZ     -0.41       46.13      113.2         0.06 ± 0.05      0.17 ± 0.05     -0.08 ± 0.18    2004.0 - 2016.4  12.4 
CHRN      4.86       43.88      103.0        -0.07 ± 0.06      0.15 ± 0.08     -0.42 ± 0.25    2004.0 - 2015.8  11.8 
CHTL      6.36       45.30      850.3        -0.60 ± 0.06      0.17 ± 0.06      1.88 ± 0.25    2004.0 - 2016.4  12.4 
CLFD      3.11       45.76      473.6         0.21 ± 0.08     -0.06 ± 0.09      0.61 ± 0.30    2006.8 - 2016.4   9.6 
CODR     12.98       45.96       91.9        -0.38 ± 0.06      2.19 ± 0.06      0.13 ± 0.21    2007.4 - 2016.4   9.0 
COMO      9.10       45.80      292.3        -0.35 ± 0.06      0.34 ± 0.06     -0.01 ± 0.21    2006.0 - 2016.4  10.4 
CURA      2.86       44.20     1014.6        -0.01 ± 0.23     -0.21 ± 0.27     -0.43 ± 0.91    2011.9 - 2015.0   3.1 
DEVE      8.26       46.31     1679.4        -0.13 ± 0.13      0.02 ± 0.13      2.56 ± 0.56    2005.8 - 2015.2   9.5 
DILL      6.70       49.37      227.6        -0.07 ± 0.07     -0.22 ± 0.09      0.52 ± 0.28    2004.9 - 2016.4  11.4 
DRES     13.73       51.03      203.1        -0.24 ± 0.08     -0.36 ± 0.10      0.43 ± 0.30    2004.0 - 2016.4  11.5 
EGLT      2.05       45.40      667.0         0.16 ± 0.10     -0.23 ± 0.12      0.14 ± 0.38    2005.4 - 2016.4  10.9 
ENTZ      7.64       48.55      204.3        -0.19 ± 0.08      0.11 ± 0.10     -0.90 ± 0.29    2004.9 - 2016.4  11.5 
EOST      7.76       48.58      213.3        -0.04 ± 0.06     -0.19 ± 0.07      0.08 ± 0.20    2007.3 - 2016.4   9.1 
ERCK      7.36       48.87      296.1        -0.24 ± 0.08     -0.10 ± 0.11      0.11 ± 0.33    2009.3 - 2016.4   7.1 
ERLA     11.00       49.59      337.8         0.07 ± 0.09     -0.22 ± 0.12      0.38 ± 0.35    2004.0 - 2016.4  12.3 
ESAB      4.80       45.31      207.7         0.22 ± 0.06      0.06 ± 0.07     -0.84 ± 0.22    2005.1 - 2015.0   9.9 
ESNO      5.35       48.12      441.0        -0.01 ± 0.22     -0.12 ± 0.26     -0.56 ± 0.87    2011.9 - 2015.0   3.1 
FAHR     11.31       47.61     1674.3         0.10 ± 0.05      0.34 ± 0.06      0.51 ± 0.19    2005.6 - 2016.1  10.5 
FCLZ      5.99       45.64     1358.2         0.11 ± 0.10      0.00 ± 0.12      0.91 ± 0.46    2004.0 - 2011.9   7.9 
FDOS     11.72       46.30     1889.3        -0.19 ± 0.08      0.51 ± 0.10      2.16 ± 0.32    2006.2 - 2016.2  10.1 
FENO      2.03       43.16      396.2         0.18 ± 0.25      0.09 ± 0.27      0.37 ± 0.97    2011.9 - 2015.0   3.1 
FERH      7.03       45.87     2400.3         0.34 ± 0.77      0.81 ± 0.92      1.48 ± 3.77    2009.4 - 2012.6   3.2 
FFMJ      8.66       50.09      178.2        -0.42 ± 0.09     -0.19 ± 0.11     -1.39 ± 0.31    2004.0 - 2016.4  11.3 
FJCP      2.79       43.05      322.7        -0.59 ± 0.07      0.20 ± 0.08      0.44 ± 0.26    2004.2 - 2015.2  11.0 
FRAC      6.75       47.66      425.4        -0.48 ± 0.13      0.16 ± 0.15     -0.16 ± 0.50    2007.5 - 2015.0   7.4 
FUSE     13.00       46.41      581.9        -0.18 ± 0.06      0.95 ± 0.07      1.17 ± 0.26    2007.7 - 2016.4   8.7 
GARI     12.25       44.68       47.7         0.07 ± 0.13      1.62 ± 0.15     -2.05 ± 0.51    2009.9 - 2016.4   6.6 
GENO      8.92       44.42      155.5         0.18 ± 0.05      0.11 ± 0.06     -0.16 ± 0.20    2004.0 - 2016.4  12.4 
GINA      5.79       43.68      382.0        -0.22 ± 0.17      0.13 ± 0.22     -0.40 ± 0.74    2004.0 - 2009.0   5.0 
GOET      9.95       51.50      214.9        -0.08 ± 0.09      0.22 ± 0.11      0.86 ± 0.34    2007.0 - 2015.5   8.6 
GRAS      6.92       43.75     1319.3        -0.01 ± 0.04      0.14 ± 0.04      0.14 ± 0.11    2004.8 - 2016.4  11.6 
GRAZ     15.49       47.07      538.3         0.50 ± 0.06      0.49 ± 0.05      0.43 ± 0.12    2005.9 - 2016.4   9.6 
GROI     -3.51       47.65       93.2        -0.56 ± 0.07     -0.32 ± 0.08      0.06 ± 0.27    2004.5 - 2014.5  10.1 
GSR1     14.54       46.05      351.7        -0.26 ± 0.07      2.02 ± 0.08      0.34 ± 0.28    2004.0 - 2016.4  12.4 
GUIL      6.66       44.66     1171.1         0.02 ± 0.10     -0.03 ± 0.12      1.31 ± 0.44    2007.9 - 2016.4   8.5 
HEAU     -1.78       49.58      188.6         0.06 ± 0.07     -0.06 ± 0.08      0.04 ± 0.27    2004.0 - 2014.8  10.8 
HELM     12.38       46.72     2451.3        -1.00 ± 0.27     -0.57 ± 0.31      0.77 ± 1.02    2012.8 - 2016.1   3.4 
HFL2     11.39       47.31     2384.0        -0.09 ± 0.12      0.71 ± 0.15      0.61 ± 0.45    2008.2 - 2011.7   3.5 
HFLK     11.39       47.31     2384.2        -0.09 ± 0.12      0.72 ± 0.15      0.61 ± 0.45    2004.0 - 2008.2   4.1 
HGRA     10.07       47.49     1764.1        -0.09 ± 0.05      0.32 ± 0.07      0.75 ± 0.21    2005.6 - 2016.1  10.5 
HKBL     13.77       47.38     1919.5         0.19 ± 0.09      1.28 ± 0.11     -0.20 ± 0.35    2004.0 - 2016.4  11.1 
HOFJ     11.88       50.31      614.9         0.15 ± 0.11     -0.39 ± 0.14      0.43 ± 0.43    2007.2 - 2016.4   9.1 
HRIE     12.25       47.75     1615.2        -0.09 ± 0.06      0.67 ± 0.07      0.02 ± 0.24    2005.6 - 2015.4   9.8 
HUEG      7.60       47.83      278.3         0.19 ± 0.09      0.27 ± 0.11     -0.17 ± 0.33    2004.0 - 2016.4  12.2 
IENG      7.64       45.02      316.6         0.30 ± 0.05     -0.33 ± 0.05      0.36 ± 0.17    2004.0 - 2016.4  12.4 
IGMI     11.21       43.80       95.1         0.21 ± 0.12      2.25 ± 0.13      0.12 ± 0.48    2006.9 - 2016.4   9.4 
JANU      6.71       44.91     2583.9         0.27 ± 0.07     -0.33 ± 0.08      1.85 ± 0.25    2005.8 - 2016.1  10.3 
JOAN     13.42       46.18     1190.5        -0.47 ± 0.05      1.71 ± 0.05      0.42 ± 0.17    2007.5 - 2016.4   8.9 
JOUX      5.80       46.53      845.5        -0.08 ± 0.06      0.16 ± 0.08      0.46 ± 0.25    2004.0 - 2014.9  10.8 
