Site       Longitude         Latitude         Height            Ve_res  SVe      Vn_res  SVn      Vu     Svu      Start    End    Tobs  
	      deg               deg             m                  mm/yr            mm/yr             mm/yr      yyyy.y   yyyy.y  years		
ACOM      13.5149004        46.5479352       1774.68229         0.16 ± 0.04      1.09 ± 0.05      1.08 ± 0.17    2005.0 - 2016.4  11.4 
AFAL      12.1745170        46.5271440       2284.08523        -0.76 ± 0.05      0.79 ± 0.06      1.29 ± 0.20    2005.0 - 2016.4  11.4 
AGDE       3.4664272        43.2963831         65.78543        -0.20 ± 0.08     -0.19 ± 0.10      0.05 ± 0.31    2007.7 - 2016.2   8.6 
AGNE       7.1396203        45.4679418       2354.60038         0.01 ± 0.15     -0.22 ± 0.17      1.42 ± 0.67    2007.2 - 2015.0   7.8 
AIGL       3.5812609        44.1213985       1618.76695        -0.11 ± 0.13      0.06 ± 0.16      0.64 ± 0.53    2004.0 - 2016.4  12.3 
AJAC       8.7626159        41.9274582         98.77857        -0.11 ± 0.13     -0.17 ± 0.16     -0.37 ± 0.54    2004.0 - 2016.4  12.0 
ALLE       3.7117547        45.1987762       1084.92777        -0.12 ± 0.57      0.26 ± 0.64     -0.02 ± 2.28    2012.5 - 2014.5   2.0 
ALPE       6.0834629        45.0866148       1892.19363        -0.33 ± 0.07      0.07 ± 0.08      0.82 ± 0.28    2006.8 - 2016.4   9.6 
ANNO       4.6656940        45.2413805        465.60809         0.32 ± 0.08      0.08 ± 0.09      0.00 ± 0.32    2007.5 - 2015.0   7.5 
ARMI       2.7660378        43.2419319        101.46600        -0.03 ± 0.09     -0.29 ± 0.10      0.09 ± 0.34    2007.6 - 2015.0   7.4 
AUBU       7.1967089        48.2168508       1151.81553         0.40 ± 0.13     -0.17 ± 0.16     -0.58 ± 0.61    2008.5 - 2016.4   7.9 
AUMO       3.2836469        44.7217941       1115.61673         0.01 ± 0.10      0.19 ± 0.12     -0.36 ± 0.40    2008.6 - 2015.0   6.4 
AUTN       4.2889755        46.9538414        353.61292         0.09 ± 0.11     -0.10 ± 0.14     -0.56 ± 0.44    2005.4 - 2016.4  10.9 
AVEN       4.6061776        46.1948277        740.82052         0.53 ± 0.08      0.31 ± 0.09     -0.54 ± 0.32    2007.5 - 2015.0   7.5 
AXPV       5.3331971        43.4912151        229.38122        -0.08 ± 0.09      0.21 ± 0.10     -0.42 ± 0.33    2004.0 - 2016.4  12.3 
BANN       4.1563190        44.3692026        357.60979        -0.04 ± 0.09      0.13 ± 0.11      0.05 ± 0.33    2004.0 - 2016.4  12.4 
BART       7.4796319        47.6330665        321.04233        -0.00 ± 0.22      0.26 ± 0.26     -0.01 ± 0.87    2011.2 - 2015.0   3.8 
BAUB       3.9669648        43.8769014        210.95094         0.01 ± 0.14     -0.04 ± 0.17      0.47 ± 0.55    2007.9 - 2013.3   5.4 
BI2I       7.6582457        48.7087913        237.80224        -0.74 ± 0.18     -0.33 ± 0.22      0.42 ± 0.72    2007.5 - 2010.5   3.0 
BIWI       7.6582484        48.7087858        237.05830        -0.74 ± 0.18     -0.33 ± 0.22      0.42 ± 0.72    2010.5 - 2014.4   3.9 
BLIX       6.3666920        43.8735390       1077.10556        -0.09 ± 0.11      0.01 ± 0.13      0.33 ± 0.44    2009.3 - 2016.4   7.1 
BOSC      11.0342814        45.5997830        910.18662        -0.32 ± 0.18      1.04 ± 0.22     -0.17 ± 0.73    2006.2 - 2014.0   7.6 
BREI      10.5510003        47.5487161       1887.97418         0.11 ± 0.05      0.43 ± 0.06      0.67 ± 0.19    2005.7 - 2016.1  10.4 
BRST      -4.4965935        48.3804944         65.82530         0.18 ± 0.12      0.62 ± 0.14     -0.33 ± 0.47    2009.5 - 2016.4   6.9 
BSCN       5.9893868        47.2468821        359.54870         0.19 ± 0.13     -0.12 ± 0.15      0.23 ± 0.51    2005.4 - 2016.4  10.9 
BUAN       5.3535964        48.4861540        416.29453        -0.31 ± 0.08      0.15 ± 0.10      0.11 ± 0.31    2007.9 - 2015.7   7.8 
BUIS       5.2725628        44.2778954        445.81577        -0.20 ± 0.09     -0.19 ± 0.11     -0.15 ± 0.37    2008.5 - 2015.0   6.5 
BURE       5.9105951        44.6328399       2614.63132        -0.39 ± 0.48      0.51 ± 0.62      0.97 ± 2.03    2004.7 - 2008.0   3.2 
BZRG      11.3367981        46.4990246        329.13134        -0.20 ± 0.11      0.50 ± 0.14      1.18 ± 0.46    2004.0 - 2016.4  12.3 
CAME      13.1239995        43.1119865        498.67786         1.14 ± 0.17      3.33 ± 0.21      0.99 ± 0.75    2004.0 - 2009.9   5.9 
CANV      12.4350216        46.0082949        965.92440        -0.13 ± 0.05      1.01 ± 0.06      0.10 ± 0.20    2005.0 - 2016.4  11.4 
CAPA       3.5089674        43.2863619         71.09697        -0.33 ± 0.26      0.28 ± 0.29      0.33 ± 0.98    2012.4 - 2015.0   2.6 
CARZ       8.6802049        46.0423416       1165.27822        -0.35 ± 0.09      0.11 ± 0.11      1.30 ± 0.36    2005.8 - 2015.0   9.2 
CAZE       1.0860528        43.2068502        306.15312        -0.49 ± 0.17      0.43 ± 0.19     -0.15 ± 0.70    2010.4 - 2015.0   4.6 
CHAM       5.8810790        45.1107151       1874.64820        -0.38 ± 0.07     -0.24 ± 0.08      1.07 ± 0.27    2004.0 - 2014.9  10.9 
CHAR       5.1521292        45.7333733        266.79398         0.03 ± 0.17     -0.33 ± 0.21      0.74 ± 0.65    2005.0 - 2009.3   4.4 
CHIZ      -0.4076986        46.1334636        113.20565         0.06 ± 0.05      0.17 ± 0.05     -0.08 ± 0.18    2004.0 - 2016.4  12.4 
CHRN       4.8617726        43.8813695        103.02569        -0.07 ± 0.06      0.15 ± 0.08     -0.42 ± 0.25    2004.0 - 2015.8  11.8 
CHTL       6.3585580        45.3041378        850.28868        -0.60 ± 0.06      0.17 ± 0.06      1.88 ± 0.25    2004.0 - 2016.4  12.4 
CLFD       3.1110763        45.7609636        473.60019         0.21 ± 0.08     -0.06 ± 0.09      0.61 ± 0.30    2006.8 - 2016.4   9.6 
CODR      12.9790963        45.9585320         91.88052        -0.38 ± 0.06      2.19 ± 0.06      0.13 ± 0.21    2007.4 - 2016.4   9.0 
COMO       9.0956236        45.8021640        292.29057        -0.35 ± 0.06      0.34 ± 0.06     -0.01 ± 0.21    2006.0 - 2016.4  10.4 
CURA       2.8551187        44.1996596       1014.61816        -0.01 ± 0.23     -0.21 ± 0.27     -0.43 ± 0.91    2011.9 - 2015.0   3.1 
DEVE       8.2610005        46.3135602       1679.42461        -0.13 ± 0.13      0.02 ± 0.13      2.56 ± 0.56    2005.8 - 2015.2   9.5 
DILL       6.6996722        49.3715651        227.60707        -0.07 ± 0.07     -0.22 ± 0.09      0.52 ± 0.28    2004.9 - 2016.4  11.4 
DRES      13.7296944        51.0298270        203.05812        -0.24 ± 0.08     -0.36 ± 0.10      0.43 ± 0.30    2004.0 - 2016.4  11.5 
EGLT       2.0519964        45.4033539        667.03259         0.16 ± 0.10     -0.23 ± 0.12      0.14 ± 0.38    2005.4 - 2016.4  10.9 
ENTZ       7.6399038        48.5493608        204.26771        -0.19 ± 0.08      0.11 ± 0.10     -0.90 ± 0.29    2004.9 - 2016.4  11.5 
EOST       7.7624948        48.5798433        213.29860        -0.04 ± 0.06     -0.19 ± 0.07      0.08 ± 0.20    2007.3 - 2016.4   9.1 
ERCK       7.3642111        48.8730278        296.12960        -0.24 ± 0.08     -0.10 ± 0.11      0.11 ± 0.33    2009.3 - 2016.4   7.1 
ERLA      11.0045746        49.5864936        337.82888         0.07 ± 0.09     -0.22 ± 0.12      0.38 ± 0.35    2004.0 - 2016.4  12.3 
ESAB       4.7979068        45.3071052        207.73110         0.22 ± 0.06      0.06 ± 0.07     -0.84 ± 0.22    2005.1 - 2015.0   9.9 
ESNO       5.3508882        48.1244335        440.96503        -0.01 ± 0.22     -0.12 ± 0.26     -0.56 ± 0.87    2011.9 - 2015.0   3.1 
FAHR      11.3149642        47.6067929       1674.33642         0.10 ± 0.05      0.34 ± 0.06      0.51 ± 0.19    2005.6 - 2016.1  10.5 
FCLZ       5.9856849        45.6430025       1358.18138         0.11 ± 0.10      0.00 ± 0.12      0.91 ± 0.46    2004.0 - 2011.9   7.9 
FDOS      11.7237974        46.3039483       1889.32345        -0.19 ± 0.08      0.51 ± 0.10      2.16 ± 0.32    2006.2 - 2016.2  10.1 
FENO       2.0295900        43.1571519        396.23662         0.18 ± 0.25      0.09 ± 0.27      0.37 ± 0.97    2011.9 - 2015.0   3.1 
FERH       7.0283097        45.8667201       2400.28713         0.34 ± 0.77      0.81 ± 0.92      1.48 ± 3.77    2009.4 - 2012.6   3.2 
FFMJ       8.6649682        50.0905788        178.22305        -0.42 ± 0.09     -0.19 ± 0.11     -1.39 ± 0.31    2004.0 - 2016.4  11.3 
FJCP       2.7949003        43.0481629        322.68397        -0.59 ± 0.07      0.20 ± 0.08      0.44 ± 0.26    2004.2 - 2015.2  11.0 
FRAC       6.7456111        47.6596952        425.39713        -0.48 ± 0.13      0.16 ± 0.15     -0.16 ± 0.50    2007.5 - 2015.0   7.4 
FUSE      13.0011467        46.4141535        581.91240        -0.18 ± 0.06      0.95 ± 0.07      1.17 ± 0.26    2007.7 - 2016.4   8.7 
GARI      12.2494364        44.6769027         47.73364         0.07 ± 0.13      1.62 ± 0.15     -2.05 ± 0.51    2009.9 - 2016.4   6.6 
GENO       8.9211444        44.4193884        155.53122         0.18 ± 0.05      0.11 ± 0.06     -0.16 ± 0.20    2004.0 - 2016.4  12.4 
GINA       5.7869818        43.6757239        381.96654        -0.22 ± 0.17      0.13 ± 0.22     -0.40 ± 0.74    2004.0 - 2009.0   5.0 
GOET       9.9505607        51.5002153        214.88445        -0.08 ± 0.09      0.22 ± 0.11      0.86 ± 0.34    2007.0 - 2015.5   8.6 
GRAS       6.9205745        43.7547386       1319.31338        -0.01 ± 0.04      0.14 ± 0.04      0.14 ± 0.11    2004.8 - 2016.4  11.6 
GRAZ      15.4934817        47.0671307        538.29209         0.50 ± 0.06      0.49 ± 0.05      0.43 ± 0.12    2005.9 - 2016.4   9.6 
GROI      -3.5079805        47.6480085         93.22931        -0.56 ± 0.07     -0.32 ± 0.08      0.06 ± 0.27    2004.5 - 2014.5  10.1 
GSR1      14.5437170        46.0481344        351.67094        -0.26 ± 0.07      2.02 ± 0.08      0.34 ± 0.28    2004.0 - 2016.4  12.4 
GUIL       6.6618686        44.6622451       1171.06344         0.02 ± 0.10     -0.03 ± 0.12      1.31 ± 0.44    2007.9 - 2016.4   8.5 
HEAU      -1.7779594        49.5806623        188.63217         0.06 ± 0.07     -0.06 ± 0.08      0.04 ± 0.27    2004.0 - 2014.8  10.8 
HELM      12.3849033        46.7162083       2451.27077        -1.00 ± 0.27     -0.57 ± 0.31      0.77 ± 1.02    2012.8 - 2016.1   3.4 
HFL2      11.3860936        47.3129057       2383.96535        -0.09 ± 0.12      0.71 ± 0.15      0.61 ± 0.45    2008.2 - 2011.7   3.5 
HFLK      11.3860935        47.3129057       2384.15086        -0.09 ± 0.12      0.72 ± 0.15      0.61 ± 0.45    2004.0 - 2008.2   4.1 
HGRA      10.0725985        47.4925837       1764.10721        -0.09 ± 0.05      0.32 ± 0.07      0.75 ± 0.21    2005.6 - 2016.1  10.5 
HKBL      13.7713212        47.3772563       1919.54744         0.19 ± 0.09      1.28 ± 0.11     -0.20 ± 0.35    2004.0 - 2016.4  11.1 
HOFJ      11.8758926        50.3129033        614.93156         0.15 ± 0.11     -0.39 ± 0.14      0.43 ± 0.43    2007.2 - 2016.4   9.1 
HRIE      12.2492719        47.7474651       1615.17181        -0.09 ± 0.06      0.67 ± 0.07      0.02 ± 0.24    2005.6 - 2015.4   9.8 
HUEG       7.5961676        47.8339487        278.31153         0.19 ± 0.09      0.27 ± 0.11     -0.17 ± 0.33    2004.0 - 2016.4  12.2 
IENG       7.6394062        45.0151331        316.62649         0.30 ± 0.05     -0.33 ± 0.05      0.36 ± 0.17    2004.0 - 2016.4  12.4 
IGMI      11.2138005        43.7956496         95.07133         0.21 ± 0.12      2.25 ± 0.13      0.12 ± 0.48    2006.9 - 2016.4   9.4 
JANU       6.7100358        44.9103636       2583.87342         0.27 ± 0.07     -0.33 ± 0.08      1.85 ± 0.25    2005.8 - 2016.1  10.3 
JOAN      13.4160616        46.1839611       1190.46062        -0.47 ± 0.05      1.71 ± 0.05      0.42 ± 0.17    2007.5 - 2016.4   8.9 
JOUX       5.7956604        46.5285750        845.51298        -0.08 ± 0.06      0.16 ± 0.08      0.46 ± 0.25    2004.0 - 2014.9  10.8 
JUVI       6.2830311        46.2176766        556.51158        -0.24 ± 0.48      0.04 ± 0.54      0.87 ± 1.86    2012.1 - 2014.0   1.8 
KARL       8.4112603        49.0112461        182.90711         0.09 ± 0.06      0.14 ± 0.07      0.04 ± 0.20    2004.0 - 2016.4  12.4 
KOE2      13.0093514        46.6742429        755.97492         0.41 ± 0.14      0.93 ± 0.18      1.34 ± 0.59    2008.2 - 2016.4   8.2 
KOET      13.0093514        46.6742429        756.11318         0.40 ± 0.14      0.93 ± 0.18      1.33 ± 0.59    2005.5 - 2008.2   2.7 
KRBG      10.6268236        47.1462300       2258.02118        -0.28 ± 0.08      0.38 ± 0.09      0.13 ± 0.29    2004.0 - 2016.4  12.3 
KTZ2      12.3594601        47.4182421       1847.83804        -0.09 ± 0.12      0.51 ± 0.14      0.22 ± 0.45    2008.0 - 2016.4   8.4 
LACA       2.7275844        43.6809908       1315.55526        -0.07 ± 0.09      0.04 ± 0.10      0.26 ± 0.35    2005.4 - 2014.6   9.1 
LAJA       6.3455153        44.1772974        851.67986        -0.05 ± 0.29      0.19 ± 0.33      0.28 ± 1.23    2011.9 - 2014.8   3.0 
LEBE       5.6246490        45.9160770        940.56401         0.01 ± 0.06      0.07 ± 0.07      0.74 ± 0.23    2005.4 - 2016.4  11.0 
LFAZ       5.3984569        45.1166293       1071.20364        -0.05 ± 0.06     -0.00 ± 0.08      0.81 ± 0.25    2005.0 - 2016.4  11.4 
LINZ      14.2830623        48.3097831        335.04509        -0.04 ± 0.07     -0.08 ± 0.09      0.37 ± 0.26    2005.5 - 2016.4  10.9 
LROC      -1.2193156        46.1589430         57.85754         0.02 ± 0.04      0.20 ± 0.03     -0.20 ± 0.09    2004.0 - 2016.4  12.4 
LUCE       7.2681933        47.4383509        741.61855         0.04 ± 0.08      0.26 ± 0.09      0.47 ± 0.30    2007.8 - 2016.4   8.6 
LUVI       4.0958931        43.6923772         71.01880         0.17 ± 0.07     -0.01 ± 0.08     -0.32 ± 0.28    2007.5 - 2014.8   7.3 
MAKS       7.0315242        47.9230050       1237.20472         0.09 ± 0.06     -0.03 ± 0.07      0.30 ± 0.22    2007.4 - 2016.4   9.1 
MANS       0.1552863        48.0186173        167.98545        -0.22 ± 0.23      0.47 ± 0.30      1.70 ± 0.97    2004.0 - 2008.1   4.0 
MARS       5.3537885        43.2787706         61.81001        -0.02 ± 0.11     -0.07 ± 0.13     -0.50 ± 0.45    2004.6 - 2016.4  11.8 
MAVE      11.8270897        46.0321389       1466.02778        -0.31 ± 0.07      1.55 ± 0.09      1.04 ± 0.29    2006.4 - 2015.0   8.6 
MDEA      13.4356375        45.9244697        165.70234        -0.43 ± 0.05      2.57 ± 0.05     -0.15 ± 0.18    2005.1 - 2016.4  11.3 
MDOR       4.8089593        45.7990205        330.59585         0.14 ± 0.15     -0.12 ± 0.17     -0.17 ± 0.59    2009.9 - 2013.9   4.1 
MEDI      11.6468162        44.5199581         50.02118         1.31 ± 0.04      2.43 ± 0.05     -1.15 ± 0.15    2004.0 - 2016.4  12.4 
MICH       5.7173553        43.9241573        628.13345        -0.18 ± 0.05      0.03 ± 0.06      0.08 ± 0.20    2004.0 - 2016.4  12.4 
MITT      11.2946668        46.6851160       2356.25512        -0.12 ± 0.19      0.69 ± 0.23      1.62 ± 0.74    2007.2 - 2016.2   6.5 
MLVL       2.5873124        48.8410585        160.47325         0.46 ± 0.09     -0.40 ± 0.10     -0.03 ± 0.32    2005.4 - 2016.4  10.7 
MOCA      11.1434418        46.0981198       1147.11910        -0.07 ± 0.16      1.01 ± 0.20      1.61 ± 0.65    2006.7 - 2010.6   3.9 
MODA       6.7100867        45.2137781       1182.25858        -0.08 ± 0.05     -0.38 ± 0.07      1.71 ± 0.22    2004.0 - 2016.4  12.4 
MOGN       4.8029182        46.1482756        233.03551         0.17 ± 0.08      0.02 ± 0.10     -2.03 ± 0.33    2004.8 - 2015.0  10.2 
MOLA       2.3408725        43.7203399        596.24267         0.06 ± 0.10      0.05 ± 0.11     -0.18 ± 0.39    2007.5 - 2015.0   7.5 
MOLV       5.8411017        48.6123194        330.37328         0.05 ± 0.29      0.01 ± 0.33     -0.03 ± 1.15    2011.5 - 2015.0   3.5 
MONT       4.0678111        45.7156927        435.58425        -0.45 ± 0.07     -0.55 ± 0.08      0.03 ± 0.27    2007.5 - 2015.0   7.5 
MOPS      10.9491953        44.6293542         92.18726         0.91 ± 0.11      3.30 ± 0.13     -0.62 ± 0.43    2007.8 - 2016.3   7.9 
MOUS       6.7838184        48.6751878        298.00644         0.20 ± 0.09     -0.24 ± 0.11     -0.11 ± 0.34    2007.5 - 2014.0   6.5 
MPRA      12.9876840        46.2407538        808.56739        -0.60 ± 0.05      1.42 ± 0.05      0.06 ± 0.18    2005.0 - 2016.4  11.4 
MTPL       3.8648417        43.6374386        120.33292        -0.02 ± 0.07      0.01 ± 0.08     -0.11 ± 0.26    2004.0 - 2013.9   9.9 
NICA       7.2272625        43.7032649        256.49412        -0.05 ± 0.07      0.08 ± 0.09     -0.17 ± 0.28    2004.0 - 2015.0  10.9 
NICE       7.2999766        43.7254998        427.32650         0.06 ± 0.05     -0.03 ± 0.06      0.14 ± 0.19    2004.0 - 2016.4  12.4 
NOVE      12.5884184        45.6684352         47.87111         0.43 ± 0.12      1.44 ± 0.13     -2.08 ± 0.43    2009.4 - 2016.4   7.0 
OATO       7.7653026        45.0415489        658.81027        -0.09 ± 0.10     -0.65 ± 0.12      0.50 ± 0.44    2005.8 - 2015.0   9.2 
OBE2      11.2798716        48.0861706        641.43457        -0.33 ± 0.54      0.39 ± 0.70      0.96 ± 2.18    2004.0 - 2007.7   3.7 
OBE4      11.2778561        48.0848047        650.50283        -0.15 ± 0.10      0.27 ± 0.12     -0.29 ± 0.39    2012.7 - 2016.4   3.7 
OGAG       6.5396696        44.7878019       1356.51681         0.84 ± 0.80      0.39 ± 0.72      3.03 ± 3.96    2011.5 - 2016.4   4.8 
PADO      11.8960633        45.4111544         64.69315         0.09 ± 0.06      1.39 ± 0.08     -0.67 ± 0.24    2004.0 - 2016.4  12.4 
