Long, [deg]     Lat, [deg]   velE,[mm/yr]  velN,[mm/yr]   Marker
13.514899        46.547935     0.0000      0.001473      ACOM 
12.174515        46.527143     0.0000      0.001359      AFAL 
3.466426         43.296382     0.0000     -0.000115      AGDE 
7.139619         45.467941     0.0000     -0.000026      AGNE 
3.581259         44.121398     0.0000     -0.000351      AIGL 
8.762614         41.927458     0.0000      0.000785      AJAC 
3.711753         45.198776     0.0000     -0.002452      ALLE 
6.083461         45.086614     0.0000      0.001020      ALPE 
4.665692         45.241380     0.0000     -0.000826      ANNO 
2.766036         43.241931     0.0000     -0.000009      ARMI 
7.196707         48.216850     0.0000     -0.000164      AUBU 
3.283645         44.721793     0.0000     -0.000226      AUMO 
4.288974         46.953841     0.0000     -0.001960      AUTN 
4.606176         46.194827     0.0000     -0.001191      AVEN 
5.333196         43.491215     0.0000     -0.001035      AXPV 
4.156317         44.369202     0.0000     -0.000396      BANN 
7.479630         47.633066     0.0000      0.000109      BART 
3.966963         43.876901     0.0000      0.000357      BAUB 
7.658247         48.708785     0.0000      0.000240      BIWI 
6.366690         43.873538     0.0000      0.000353      BLIX 
11.356773        44.500217     0.0000     -0.007407      BOLG 
11.034280        45.599782     0.0000      0.001468      BOSC 
10.550999        47.548715     0.0000      0.000358      BREI 
355.503405       48.380494     0.0000     -0.002502      BRST 
5.989385         47.246881     0.0000     -0.000391      BSCN 
5.353595         48.486153     0.0000     -0.000123      BUAN 
5.272561         44.277895     0.0000      0.000026      BUIS 
5.910594         44.632839     0.0000      0.001079      BURE 
11.336796        46.499024     0.0000      0.001879      BZRG 
13.123998        43.111986     0.0000     -0.000065      CAME 
12.435020        46.008294     0.0000      0.000467      CANV 
3.508966         43.286361     0.0000      0.001192      CAPA 
8.680203         46.042341     0.0000      0.001090      CARZ 
1.086051         43.206850     0.0000     -0.000268      CAZE 
5.881077         45.110715     0.0000      0.000585      CHAM 
5.152128         45.733373     0.0000     -0.000186      CHAR 
359.592300       46.133463     0.0000     -0.000369      CHIZ 
6.872999         45.926155     0.0000      0.001140      CHMX 
4.861771         43.881369     0.0000     -0.000889      CHRN 
6.358556         45.304137     0.0000      0.001597      CHTL 
6.927051         44.248448     0.0000     -0.001402      CLAP 
3.111075         45.760963     0.0000      0.000028      CLFD 
12.979095        45.958531     0.0000      0.000569      CODR 
9.095622         45.802163     0.0000     -0.000792      COMO 
2.855117         44.199659     0.0000      0.001002      CURA 
8.260999         46.313560     0.0000      0.002640      DEVE 
6.699671         49.371565     0.0000      0.000402      DILL 
13.729693        51.029826     0.0000     -0.001122      DRES 
2.051995         45.403353     0.0000     -0.000390      EGLT 
12.384902        46.716208     0.0000     -0.002817      ELMO 
7.639902         48.549360     0.0000     -0.001700      ENTZ 
7.762493         48.579843     0.0000      0.000056      EOST 
7.364209         48.873027     0.0000      0.000306      ERCK 
